	SRR6915103_500K_merged_Abundance.RPKs	SRR6915104_500K_merged_Abundance.RPKs	SRR6915105_500K_merged_Abundance.RPKs	SRR6915106_500K_merged_Abundance.RPKs	SRR6915107_500K_merged_Abundance.RPKs	SRR6915108_500K_merged_Abundance.RPKs	SRR6915109_500K_merged_Abundance.RPKs	SRR6915110_500K_merged_Abundance.RPKs	SRR6915111_500K_merged_Abundance.RPKs	SRR6915112_500K_merged_Abundance.RPKs	SRR6915114_500K_merged_Abundance.RPKs	SRR6915117_500K_merged_Abundance.RPKs	SRR6915125_500K_merged_Abundance.RPKs	SRR6915126_500K_merged_Abundance.RPKs	SRR6915127_500K_merged_Abundance.RPKs	SRR6915128_500K_merged_Abundance.RPKs	SRR6915129_500K_merged_Abundance.RPKs	SRR6915130_500K_merged_Abundance.RPKs	SRR6915131_500K_merged_Abundance.RPKs	SRR6915132_500K_merged_Abundance.RPKs	SRR6915133_500K_merged_Abundance.RPKs	SRR6915134_500K_merged_Abundance.RPKs	SRR6915135_500K_merged_Abundance.RPKs	SRR6915136_500K_merged_Abundance.RPKs	SRR6915147_500K_merged_Abundance.RPKs	SRR6915149_500K_merged_Abundance.RPKs	SRR6915150_500K_merged_Abundance.RPKs	SRR6915151_500K_merged_Abundance.RPKs	SRR6915152_500K_merged_Abundance.RPKs	SRR6915153_500K_merged_Abundance.RPKs	SRR6915155_500K_merged_Abundance.RPKs	SRR6915156_500K_merged_Abundance.RPKs	SRR6915167_500K_merged_Abundance.RPKs	SRR6915168_500K_merged_Abundance.RPKs	SRR6915169_500K_merged_Abundance.RPKs	SRR6915170_500K_merged_Abundance.RPKs	SRR6915171_500K_merged_Abundance.RPKs	SRR6915172_500K_merged_Abundance.RPKs	SRR6915173_500K_merged_Abundance.RPKs	SRR6915174_500K_merged_Abundance.RPKs	SRR6915175_500K_merged_Abundance.RPKs	SRR6915176_500K_merged_Abundance.RPKs	SRR6915177_500K_merged_Abundance.RPKs	SRR6915178_500K_merged_Abundance.RPKs	SRR6915179_500K_merged_Abundance.RPKs	SRR6915180_500K_merged_Abundance.RPKs	SRR6915181_500K_merged_Abundance.RPKs	SRR6915182_500K_merged_Abundance.RPKs	SRR6915183_500K_merged_Abundance.RPKs	SRR6915184_500K_merged_Abundance.RPKs	SRR6915185_500K_merged_Abundance.RPKs	SRR6915186_500K_merged_Abundance.RPKs	SRR6915195_500K_merged_Abundance.RPKs	SRR6915196_500K_merged_Abundance.RPKs	SRR6915197_500K_merged_Abundance.RPKs	SRR6915198_500K_merged_Abundance.RPKs	SRR6915199_500K_merged_Abundance.RPKs	SRR6915200_500K_merged_Abundance.RPKs
1.2.1.27	5.799759408999993e-07	5.869311386666659e-07	8.858822800999972e-07	1.3552086366666668e-06	6.70661451866665e-07	5.50999771283333e-07	8.567828256999976e-07	5.897545778166658e-07	4.548884215999996e-07	4.603418199000001e-07	5.2835124595e-07	4.899703785e-07	1.6175389073333348e-06	9.626063092666638e-07	4.4779408786666676e-07	1.1308351141333312e-06	5.668855819499997e-07	5.398409568166661e-07	4.7387374873333353e-07	9.80025907999998e-07	5.95752092899999e-07	6.917468042999987e-07	6.525270634499982e-07	7.294553751333314e-07	8.441572624333317e-07	5.370064669333329e-07	4.790694616000003e-07	6.124287071999991e-07	5.720757361999993e-07	5.747747660499992e-07	4.951721594000001e-07	4.837215908333332e-07	5.348200345833329e-07	6.349682648666653e-07	5.933514534666658e-07	2.3313072523333358e-07	2.4940202153333347e-07	6.180356256999995e-07	5.758350018499995e-07	5.826526008666657e-07	5.406327963666662e-07	6.116113064333322e-07	6.098730961166654e-07	7.314054388499988e-07	5.27752e-06	7.07649067966665e-07	6.411848214499984e-07	5.812547809499996e-07	9.196108118666638e-07	9.430019039999966e-07	5.486649287999997e-07	6.984002530999985e-07	6.227837422499989e-07	5.074883233666668e-07	5.67303955216666e-07	8.035795111666643e-07	5.903221132666659e-07	5.753595358666659e-07
2.1.1.210	3.464720675000003e-07	3.928353085476194e-07	4.196799790000006e-07	4.818152181000003e-07	4.656812845476196e-07	4.557143838809526e-07	6.681092765476192e-07	4.943731322142863e-07	2.257699820380941e-06	4.087961972142858e-07	4.546096790476192e-07	4.365230135476194e-07	5.080516155571436e-07	8.505364017380958e-07	6.461813430714289e-07	3.1227749133333345e-07	3.383974961476188e-07	2.8736060850000004e-07	4.932081032142861e-07	5.225012386666671e-07	6.49880757214286e-07	3.9379538264761923e-07	3.6960284031428565e-07	5.038401157142864e-07	1.7779784533333328e-07	3.7653426450000043e-07	6.088262753809526e-07	4.6639815150000075e-07	2.971255889809524e-07	4.632896192142862e-07	3.5680421558095243e-07	4.789253552142862e-07	8.976187793809532e-07	4.476210282142862e-07	5.046944846666668e-07	4.160715580476196e-07	5.443710665476194e-07	8.248702898809513e-07	4.43198028547619e-07	2.2661951833333287e-07	3.032537970476189e-07	2.80114734647619e-07	2.2303048433333323e-07	5.562054017047625e-07	2.310347250285715e-07	7.518621641238098e-07	5.72271987833334e-07	4.532391516000009e-07	6.735063452142856e-07	2.702812466666666e-07	3.9906550388095225e-07	1.678646853333332e-07	4.1045361604761915e-07	3.886474363142854e-07	5.220555287142863e-07	6.161300537142859e-07	5.405734098809529e-07	1.2902895933333327e-07
4.1.2.2	7.883580842333335e-07	4.256926839666668e-07	7.047595240761912e-07	6.662655471923827e-06	4.5524668774285706e-07	3.9711690229999984e-07	1.001494801849999e-06	3.446510932571428e-07	6.084665523999997e-07	3.41276944916667e-07	4.603894394238095e-07	3.9459584491904765e-07	4.241285391904758e-06	5.712015854761912e-07	8.43139589916667e-07	9.331206410666696e-07	3.7463873630952383e-07	8.026848100000003e-07	8.352175112333341e-07	6.981301386190479e-07	5.8903799945e-07	5.316410835166669e-07	3.545517641190477e-07	5.225255477428572e-07	7.07715235466667e-07	3.444981328571429e-07	4.824402299023813e-07	9.192842324333352e-07	9.26420071633335e-07	6.083906190238098e-07	4.78720171114286e-07	4.922535705523808e-07	4.980428958333336e-07	4.3177971213333345e-07	8.342468907666668e-07	2.0690341185238103e-07	5.560708990761908e-07	1.2380120053499962e-06	3.765584104190476e-07	7.675428375190484e-07	4.345686077111108e-07	4.2591340726666657e-07	1.164519906733335e-06	6.671148340190486e-07	7.97105e-06	6.236086742666671e-07	7.031150356880953e-07	4.998949884761905e-07	4.1942969910238104e-07	9.215689387333347e-07	3.619632347e-07	6.558034737500001e-07	5.231370496666669e-07	3.8527033018571424e-07	4.241899784333331e-07	5.157157672523806e-07	4.738796418857144e-07	5.191595727904765e-07
2.7.1.41	6.091827059333328e-07	1.7013530205619034e-06	8.012312589912692e-07	5.00836e-06	7.091367596126982e-07	6.983099064563482e-07	6.543591932579362e-07	5.117220352436503e-07	1.1074864155809506e-06	5.973098170412694e-07	5.706896492674599e-07	1.820458498209523e-06	2.0907750288261917e-06	9.65326e-06	7.247948653103175e-07	7.604495309357141e-07	5.936905697619044e-07	7.117968588460315e-07	7.47061546665079e-07	6.731132355523804e-07	7.416503039698419e-07	2.6056014370761907e-06	2.5443796986000017e-06	4.222906419333343e-06	9.763630785785707e-07	7.538774994341265e-07	5.768375924984122e-07	7.291159251499999e-07	7.284828996833332e-07	7.173912569269834e-07	6.628269120976183e-07	6.76999284331746e-07	2.8578515839000043e-06	6.437648375198409e-07	7.308591326214284e-07	5.373635757968253e-07	5.631903809793643e-07	5.521636895079358e-07	6.019984303833328e-07	7.318261457523806e-07	6.934791062412693e-07	6.939744620571426e-07	6.409020313388889e-07	9.12951e-06	9.54357393848412e-07	3.7192717446952473e-06	6.577212667746032e-07	7.0605451657619e-07	4.453069150000009e-06	1.086830788811904e-06	7.007697338952374e-07	5.830019609452377e-07	7.778408997126982e-07	5.31707713392063e-07	6.922311216912697e-07	4.4014796584e-06	7.84584994019841e-07	1.141737962259521e-06
1.2.1.72	6.73275e-06	2.215986252666662e-06	1.35673e-05	6.85058e-05	2.4247613140666705e-06	2.405411659533336e-06	6.9136e-06	2.2643837099238126e-06	7.585024739999981e-06	2.206972877999996e-06	6.276488198666663e-06	2.4700561446666687e-06	3.87293e-05	5.35748e-06	2.1625757617333348e-06	3.728373608600003e-06	1.7533525432666662e-06	2.3144349993238104e-06	2.30336978826667e-06	8.33575e-06	2.2640053854000035e-06	3.2441766751238112e-06	2.0974636984666678e-06	2.3079496875904805e-06	6.29143e-06	2.297108783923811e-06	2.4713737424666715e-06	2.2283392928666665e-06	2.3944947798666684e-06	2.2236388138666666e-06	1.1789411891333345e-06	2.399204673866671e-06	2.3987843186666622e-06	2.3107442102666682e-06	5.32029e-06	1.922386834333331e-06	2.0686645899999973e-06	2.2334130364000024e-06	2.2580343426000005e-06	1.2871155313904786e-06	2.311618496323811e-06	2.486591450533334e-06	2.3889956028666704e-06	5.52124e-06	1.08705e-05	2.2028560213333296e-06	2.167757215200001e-06	2.278524730466671e-06	5.51009e-06	2.29182505532381e-06	2.0256218196666676e-06	2.282618008390479e-06	2.0491328214000007e-06	1.3705524417333321e-06	2.4125658508000027e-06	1.528295856133335e-06	2.167235503200001e-06	1.9326376055333333e-06
1.1.1.179	1.6682242278833352e-06	1.176746670133333e-06	9.19233e-06	1.05553e-05	9.574959735333343e-07	1.9136143025500003e-06	2.2058983984166642e-06	2.116646483916667e-06	3.3149494423571423e-06	7.82248e-06	1.6510317270833355e-06	2.6978574414166654e-06	1.7435530770000024e-06	1.425028414666666e-06	3.7729898845238033e-06	1.5172542413333358e-06	3.4496374105238e-06	2.407799814083332e-06	1.1952017308833337e-06	2.2370319834166674e-06	4.043262934357144e-06	1.895911601883334e-06	1.671518500083333e-06	9.276816684666662e-07	1.941211638750002e-06	2.725394201416665e-06	1.4569112098833322e-06	2.0975104420833326e-06	2.7680819146666637e-06	2.6861738614166654e-06	2.3563799315238083e-06	2.3661518192166657e-06	1.3177459467499987e-06	2.6861738614166654e-06	3.6274012795238025e-06	1.3678084661166661e-06	1.346866190083332e-06	9.71074e-06	2.277392578083332e-06	4.155245135357147e-06	2.360115893416666e-06	2.0157376320833347e-06	1.8597849333333323e-06	2.370245439523809e-06	2.640774465416664e-06	1.39072e-05	2.6878243014166655e-06	2.388676358416665e-06	2.0206291732166677e-06	2.658568744083329e-06	2.948005428523803e-06	3.0386563410000023e-06	2.6978574414166654e-06	1.6574067070333323e-06	2.710361361416666e-06	2.8781392175238e-06	2.17136294725e-06	2.6861738614166654e-06
2.7.7.81	9.178612407047607e-06	9.142482070104763e-06	7.64991e-06	5.159113732166658e-06	7.30848e-06	6.753971760771422e-06	8.932411688571415e-06	8.306928477371415e-06	8.914529257904756e-06	5.878868369804758e-06	1.98921e-05	7.718021593571427e-06	5.686366207833324e-06	8.545485941714268e-06	9.012764897571416e-06	4.889447520280953e-06	1.58676e-05	9.700092490714278e-06	9.865883250104755e-06	8.759735055704755e-06	8.22291078457142e-06	7.669265552780954e-06	6.41527e-06	3.183359272447623e-06	6.164257633004759e-06	7.926248125904761e-06	7.1922054883476265e-06	1.53278e-05	2.24078e-05	8.916099283771418e-06	2.42213e-05	6.973822006571417e-06	9.59908e-06	9.379896115571412e-06	1.08407e-05	5.723890565880951e-06	8.122128336104764e-06	4.89366e-05	1.06255e-05	5.478067106804763e-06	9.39460626577142e-06	5.150745708314283e-06	5.093842737399997e-06	6.33599e-06	4.649865997914284e-06	9.811778341190461e-06	6.102396238971431e-06	2.4832e-05	6.1824706584714346e-06	9.449423272104753e-06	5.583906842771429e-06	1.24231e-05	9.143902336404755e-06	6.691854135971424e-06	8.782702032247612e-06	8.485637215190465e-06	8.516874481914264e-06	7.771184713014282e-06
3.5.2.2	9.051e-06	5.53768e-06	1.624433170190478e-05	3.85662e-05	1.6537273968571456e-05	5.12912e-06	1.396722588933334e-05	1.321773624866668e-05	1.419832980466667e-05	1.4031196675809534e-05	1.43359e-05	1.2333175524666684e-05	2.2792e-05	1.4813456374857175e-05	7.19564e-06	1.1984509255238101e-05	1.5885e-05	2.49374e-05	1.24377e-05	1.706698481057147e-05	5.17682e-06	1.36925e-05	1.8454366207238114e-05	6.76153e-06	1.4653780474571443e-05	1.43747e-05	2.16599e-05	7.63381e-06	1.956697726857143e-05	6.93608e-06	1.4163795222500005e-05	1.595272731857145e-05	1.168497262390477e-05	1.83854e-05	1.5088401288666693e-05	1.45345448052381e-05	1.3785769536571433e-05	1.3908308310000026e-05	1.5072630616666678e-05	1.10253e-05	1.4070206607904775e-05	1.3913302338571439e-05	1.801839855723809e-05	1.2774316279523825e-05	7.56159e-06	1.2976923233904768e-05	1.26837e-05	1.4441948279000008e-05	6.39006e-06	1.7388300687238123e-05	1.12102e-05	1.625829924233334e-05	1.4346712201904774e-05	1.3727298769333342e-05	2.0273564368571466e-05	2.84097e-05	1.603139162000002e-05	1.4096031071904768e-05
3.1.3.1	1.1587319853333331e-05	1.03693e-05	1.1232292363333333e-05	4.71335e-05	8.07288e-06	7.78642e-06	2.12989e-05	1.0259e-05	1.788483047e-05	1.77692e-05	2.08144e-05	1.1900665060000001e-05	2.18934e-05	3.14018e-05	8.857232873333311e-06	1.2898387943333325e-05	8.07862e-06	9.09655415333332e-06	1.24707e-05	2.63585e-05	1.0463852569999994e-05	1.02224e-05	1.1522619893333336e-05	9.325053080000005e-06	2.1306972853333335e-05	5.85376e-06	5.50164e-05	8.84367e-06	1.3625825379999993e-05	7.2761e-06	1.6452e-05	1.1600342053333336e-05	1.81335e-05	1.00615e-05	1.1983971979999998e-05	1.5528188320000003e-05	1.31595e-05	2.36788e-05	1.21567e-05	1.3734e-05	1.37145e-05	8.775686773333315e-06	1.1752350583333345e-05	2.06918e-05	2.76768e-05	1.2489e-05	1.23817e-05	2.85369e-05	1.2047189186666668e-05	1.1747655266666654e-05	5.75346e-06	1.027450554e-05	8.933822143333317e-06	1.3863378420000006e-05	8.236999876666632e-06	1.60148e-05	9.670067033333327e-06	8.871066083333316e-06
6.2.1.48	5.5965677605898694e-08	2.904830943476002e-08	5.479064180589869e-08	1.22615e-05	6.722723446801973e-09	5.716585340502723e-08	6.260511340884548e-09	8.912324547673438e-09	4.329465358473174e-08	1.0575485709835604e-08	1.1395194904310082e-08	5.698425160589871e-08	1.85045e-06	5.597084160023646e-08	7.349420408733341e-09	5.6576169605898695e-08	5.5725163405027233e-08	5.7406367605898714e-08	1.7319247316928763e-08	1.2473708936388182e-06	5.698425160589871e-08	2.6151185647335593e-08	5.6998285605898715e-08	5.698425160589871e-08	1.00783078367284e-07	5.698425160589871e-08	7.975037446801979e-09	5.5725163405027233e-08	9.96960837563081e-09	1.2631591270042727e-07	1.2835329509835596e-08	5.7406367605898714e-08	2.97675521578016e-08	5.525498216905665e-08	5.614727940502724e-08	7.814522072993543e-09	5.111695503385717e-08	5.023411057404009e-08	5.516742851818518e-08	1.2682936456388173e-06	1.0614231391015425e-08	8.912324547673438e-09	1.0309831509835603e-08	5.399330651818518e-08	6.168154744072181e-08	7.814522072993543e-09	5.4524987605898694e-08	1.1998357308964135e-08	5.4524987605898694e-08	6.232517144072181e-08	6.333246178081628e-08	8.986957614340105e-09	5.5725163405027233e-08	1.2835329509835596e-08	2.6151185647335593e-08	5.949154343136034e-08	5.698425160589871e-08	1.0309831509835603e-08
