	SRR6915103_500K_merged_Abundance.RPKs	SRR6915104_500K_merged_Abundance.RPKs	SRR6915105_500K_merged_Abundance.RPKs	SRR6915106_500K_merged_Abundance.RPKs	SRR6915107_500K_merged_Abundance.RPKs	SRR6915108_500K_merged_Abundance.RPKs	SRR6915109_500K_merged_Abundance.RPKs	SRR6915110_500K_merged_Abundance.RPKs	SRR6915111_500K_merged_Abundance.RPKs	SRR6915112_500K_merged_Abundance.RPKs	SRR6915114_500K_merged_Abundance.RPKs	SRR6915117_500K_merged_Abundance.RPKs	SRR6915125_500K_merged_Abundance.RPKs	SRR6915126_500K_merged_Abundance.RPKs	SRR6915127_500K_merged_Abundance.RPKs	SRR6915128_500K_merged_Abundance.RPKs	SRR6915129_500K_merged_Abundance.RPKs	SRR6915130_500K_merged_Abundance.RPKs	SRR6915131_500K_merged_Abundance.RPKs	SRR6915132_500K_merged_Abundance.RPKs	SRR6915133_500K_merged_Abundance.RPKs	SRR6915134_500K_merged_Abundance.RPKs	SRR6915135_500K_merged_Abundance.RPKs	SRR6915136_500K_merged_Abundance.RPKs	SRR6915147_500K_merged_Abundance.RPKs	SRR6915149_500K_merged_Abundance.RPKs	SRR6915150_500K_merged_Abundance.RPKs	SRR6915151_500K_merged_Abundance.RPKs	SRR6915152_500K_merged_Abundance.RPKs	SRR6915153_500K_merged_Abundance.RPKs	SRR6915155_500K_merged_Abundance.RPKs	SRR6915156_500K_merged_Abundance.RPKs	SRR6915167_500K_merged_Abundance.RPKs	SRR6915168_500K_merged_Abundance.RPKs	SRR6915169_500K_merged_Abundance.RPKs	SRR6915170_500K_merged_Abundance.RPKs	SRR6915171_500K_merged_Abundance.RPKs	SRR6915172_500K_merged_Abundance.RPKs	SRR6915173_500K_merged_Abundance.RPKs	SRR6915174_500K_merged_Abundance.RPKs	SRR6915175_500K_merged_Abundance.RPKs	SRR6915176_500K_merged_Abundance.RPKs	SRR6915177_500K_merged_Abundance.RPKs	SRR6915178_500K_merged_Abundance.RPKs	SRR6915179_500K_merged_Abundance.RPKs	SRR6915180_500K_merged_Abundance.RPKs	SRR6915181_500K_merged_Abundance.RPKs	SRR6915182_500K_merged_Abundance.RPKs	SRR6915183_500K_merged_Abundance.RPKs	SRR6915184_500K_merged_Abundance.RPKs	SRR6915185_500K_merged_Abundance.RPKs	SRR6915186_500K_merged_Abundance.RPKs	SRR6915195_500K_merged_Abundance.RPKs	SRR6915196_500K_merged_Abundance.RPKs	SRR6915197_500K_merged_Abundance.RPKs	SRR6915198_500K_merged_Abundance.RPKs	SRR6915199_500K_merged_Abundance.RPKs	SRR6915200_500K_merged_Abundance.RPKs
1.1.1.261	8.11534e-06	3.01756e-05	1.710638626000002e-05	1.7372786510000092e-05	9.41721e-06	7.99392e-06	5.68321e-06	7.12611e-06	3.94464e-05	1.36017e-05	2.68752e-05	8.07298e-06	4.04204e-06	9.01533e-06	1.7525725360000047e-05	1.575320732000005e-05	1.6947960126666688e-05	1.5842084020000035e-05	2.86692e-05	1.19973e-05	1.23923e-05	1.2413e-05	1.64175e-05	2.07641e-05	1.57498811466667e-05	7.11809e-06	3.147628778000004e-05	1.98115e-05	3.4527e-05	1.719699548000002e-05	3.16531e-05	1.6000542000000036e-05	1.6878211400000024e-05	8.74451e-06	9.42467e-06	2.18715e-05	2.98949e-05	1.965627698000002e-05	1.38021e-05	3.51334e-05	9.60172e-06	5.75009e-06	3.35997e-05	3.42765e-05	6.94559e-06	1.5999941346666707e-05	3.05562e-05	2.6301e-05	1.38654e-05	8.91282e-06	7.78218e-06	1.73524e-05	1.815277077333336e-05	1.538813728000001e-05	1.5659075470000014e-05	5.58496e-05	1.7825323250000046e-05	8.39869e-06
1.12.98.1	1.1968380599999967e-06	3.1053582000000016e-07	3.7428465799999966e-06	2.2531742000000026e-07	8.119012e-08	4.895492600000007e-07	2.8294682000000014e-07	3.3350848000000023e-07	1.9513732000000016e-07	4.841975000000008e-07	5.812114599999994e-07	5.467044199999998e-07	0.0	1.3311943999999997e-07	6.776077799999981e-07	5.056330400000006e-07	3.965523800000005e-07	4.840784600000008e-07	6.270557399999987e-07	1.981874200000001e-07	4.954448600000007e-07	4.991275000000006e-07	6.705172999999984e-07	6.730672799999982e-07	1.9392754000000012e-07	5.305957200000001e-07	2.6159548000000035e-07	6.118265399999991e-07	4.0754220000000047e-07	6.21974499999999e-07	5.211720200000003e-07	4.188674200000007e-07	3.025811999999995e-07	6.281024999999988e-07	3.5061476000000026e-07	4.4457014000000063e-07	4.612247800000006e-07	2.3116200000000028e-07	2.8877201199999966e-06	3.5702242000000047e-07	1.3939933999999998e-07	3.7847960000000044e-07	1.5439142000000006e-07	5.725872999999995e-07	6.555948e-08	3.0446512000000027e-07	1.010118199999998e-06	1.2103745799999968e-06	5.300307200000002e-07	3.3448556000000044e-07	2.9016084000000013e-07	2.772184800000003e-07	6.504179199999975e-07	3.236559600000003e-07	1.0718858199999973e-06	7.012340000000001e-08	6.213946799999989e-07	4.987928000000007e-07
1.1.1.405	1.24488e-05	6.053332933333345e-06	6.461025881666674e-06	4.664959930000008e-06	6.2063252316666724e-06	8.14126636533334e-06	6.49614007333334e-06	2.07541e-05	4.755874021428574e-06	5.716079171666666e-06	6.56111e-06	1.0475583260666684e-05	9.00836e-06	5.62239e-06	5.41925e-06	6.150819554333341e-06	6.378324401666671e-06	8.36732283500001e-06	6.315709856666678e-06	6.250225101666676e-06	1.66587e-05	6.405152253095245e-06	2.99875e-05	1.4053333452000022e-05	1.0374336480428592e-05	1.43512e-05	3.1894e-05	9.66611e-06	1.14795e-05	8.046155508333347e-06	6.301414026666669e-06	1.36325e-05	5.906737068333331e-06	3.78437e-05	2.13283e-05	6.311206395000006e-06	9.03761054933334e-06	1.09334e-05	6.036992696666671e-06	6.3821493516666685e-06	6.236276576666672e-06	8.442178300761914e-06	6.1722422350000084e-06	1.86185e-05	5.407467599999999e-06	5.435220227428577e-06	6.463109563333345e-06	8.38014e-06	1.14203e-05	9.95788370233335e-06	6.450465370000007e-06	6.78831e-06	5.79114e-06	6.2456376083333405e-06	5.951505933333347e-06	5.614587220000013e-06	7.31308e-06	5.58834e-06
2.7.9.3	2.67087e-05	5.86446e-05	1.48874e-05	4.67053e-05	9.53093e-05	5.10656e-05	1.84058e-05	6.11337e-05	3.51488e-05	9.28796e-05	2.85278e-05	5.57346e-05	3.13191e-05	1.68154e-05	5.86031e-06	4.8950295066666864e-05	3.32946e-05	1.78565e-05	3.74557e-05	2.98778e-05	5.341168560000017e-05	8.08662e-06	4.48915e-05	1.39498e-05	4.38801e-05	7.20477e-06	4.71691e-05	5.68487e-06	2.88888e-05	1.28201e-05	3.74319e-05	3.31277e-05	6.13931e-05	8.26967e-06	6.03551e-05	6.6927e-05	5.69485e-05	2.23636e-05	6.46622e-05	4.27574e-05	3.34383e-05	2.47941e-05	5.96895e-06	3.32902e-05	7.47627e-05	5.66415e-05	9.98991e-06	7.76239e-06	6.53261e-05	5.36973e-05	3.87238e-05	3.07242e-05	6.94637e-06	7.91338e-05	5.31266e-05	4.9853e-05	2.16693e-05	6.71252e-06
2.3.1.n4	1.5039962312066197e-07	1.846752747609824e-07	2.8503529332807507e-07	1.24068e-05	2.2226437601067343e-07	1.411466416114235e-07	2.030945318952672e-07	1.656090408632427e-07	3.915375164711221e-07	1.4287330878764534e-07	1.3000393151447137e-07	1.597766658672395e-07	1.37748e-06	3.6217154112481777e-07	1.5694428188205672e-07	4.0225429497573e-07	1.5652706826052117e-07	2.1679559143174058e-07	1.353781814654245e-07	4.62157e-06	1.5307472825349598e-07	2.4104320955787034e-07	1.2325651859603885e-07	1.263653011130323e-07	4.790877954294366e-07	3.8939471114427714e-07	1.6619734387904398e-07	1.7834278179574814e-07	6.408177094898998e-07	4.2588088726659085e-07	1.5958867339037617e-07	1.6895774959388152e-07	2.5661496906166876e-07	2.0455705525244773e-07	1.62685840991545e-07	1.1996571777540396e-07	1.7926725030717204e-07	8.493112479110195e-08	1.707453189102814e-07	3.7093743812694185e-07	2.0132513915719853e-07	1.550391689745557e-07	5.116338995516137e-07	1.6954619378004793e-07	1.93384e-06	1.6523784259485202e-07	2.162426901641257e-07	1.5757943035410766e-07	3.4126737178091835e-07	1.6687840883114824e-07	2.544223835272751e-07	2.37514824192909e-07	1.893129943107122e-07	1.5359287120472093e-07	1.9084107544274107e-07	1.9999663261008983e-07	1.611652789421406e-07	1.4945042196374882e-07
3.4.24.11	3.310836877999992e-06	6.566893159999984e-07	8.458009000000011e-07	1.4855691319999994e-06	2.4669619800000024e-07	2.537981180000002e-07	6.506353139999996e-07	4.442281239999993e-07	2.9034817179999955e-06	8.05248e-06	4.910532899999991e-07	2.4669619800000024e-07	6.142227619999993e-07	4.178425719999996e-07	1.3105760240000022e-06	2.381581765999998e-06	2.4669619800000024e-07	4.877647499999994e-07	7.698740539999989e-07	1.5724719399999997e-07	4.5360406199999937e-07	2.7625329079999947e-06	1.4168911799999997e-07	5.298552079999997e-07	5.596296379999995e-07	4.3968111199999993e-07	4.827526999999993e-07	4.855072039999995e-07	5.538739999999998e-07	4.852041639999999e-07	4.4377224799999943e-07	2.408711340000003e-07	1.2544993619999983e-06	2.603321180000002e-07	3.9643537e-07	5.43076e-06	7.382977239999989e-07	3.3701315079999984e-06	3.519623220000001e-07	2.473522080000003e-07	5.614487759999993e-07	8.76302024000001e-07	5.886502959999997e-07	5.410149459999989e-07	1.4845570999999994e-07	5.527798139999984e-07	7.693261140000008e-07	3.312395819999992e-06	2.5346279000000027e-07	9.253825839999999e-07	4.1097324399999957e-07	4.551175439999993e-07	2.603321180000002e-07	4.93397509999999e-07	9.90029e-06	4.216603219999994e-07	2.264386740000002e-07	2.1497984059999975e-06
1.1.1.262	3.0702523699999983e-05	6.86884e-06	5.93201e-06	5.15074e-05	4.22408e-05	4.35569e-05	1.74723e-05	2.60007e-05	7.35727e-06	2.4075397173333287e-05	3.20531e-05	1.59561e-05	2.55033e-05	6.49665e-05	8.38779e-06	7.01867e-05	1.98893e-05	2.880883693999999e-05	2.46245e-05	2.79438e-05	1.9119680650000007e-05	2.4352506609999987e-05	6.66371e-06	1.838066768333333e-05	1.74468e-05	7.50034e-06	1.02626e-05	3.58101e-05	2.241279643666665e-05	1.9439207709999995e-05	1.67021e-05	1.07181e-05	2.41544e-05	1.45999e-05	1.6008e-05	6.52445e-06	3.6245e-05	4.77049e-05	3.82191e-05	7.06163e-06	3.44313e-05	1.02563e-05	3.95268e-06	3.93587e-05	3.3487e-05	6.23102e-05	2.8421e-05	2.57481e-05	9.79408e-06	3.27353e-05	8.9673e-06	1.80216e-05	8.20917e-06	3.62417e-05	2.60595e-05	7.94307e-06	2.0366383469999977e-05	6.66421e-06
3.1.1.2	5.66729e-06	1.2339920014666648e-05	9.612961151333328e-06	2.24505e-05	1.0067845231333321e-05	1.07994e-05	1.2481705002285711e-05	1.1563846378333319e-05	8.118080559666655e-06	8.68289e-06	9.931123440999991e-06	9.911947641333321e-06	1.90065e-05	1.0818764295333318e-05	9.403989778333324e-06	6.20514e-06	9.545573353333324e-06	2.20996e-05	2.16254e-05	9.365154554666658e-06	1.0173222355333321e-05	1.0625863535476179e-05	9.739514852999985e-06	6.21646e-06	1.0295017373999977e-05	1.1056198075333325e-05	9.749800909666652e-06	1.18103e-05	2.71593e-05	9.857330477333327e-06	9.98899019590475e-06	9.92226143633333e-06	1.0514189810999988e-05	1.74375e-05	7.307205217999982e-06	9.544927880666655e-06	7.5912e-06	8.79018e-06	7.39992e-06	1.1211719308999991e-05	9.495708995999993e-06	9.50811856666666e-06	3.81399e-05	9.023957005333315e-06	1.2032379035666656e-05	1.36861e-05	1.72202e-05	8.23873322766665e-06	8.771296682666654e-06	1.34374e-05	1.1021464623333315e-05	7.489966380523791e-06	9.783614795999987e-06	5.89348e-06	1.04815e-05	1.60897e-05	1.0498328977333317e-05	9.870311201857131e-06
2.1.2.2	7.16404e-05	0.000115421	9.59896e-05	0.000100415	0.000155795	0.000114728	0.00015117	0.000109838	0.000119399	6.94387e-05	8.37157e-05	0.0001198	0.000110869	6.83063e-05	7.78342e-05	1.78633e-05	7.65563e-05	6.07009e-05	0.000134293	0.000121655	5.82824e-05	5.53935e-05	9.44075e-05	0.000124461	6.44603e-05	5.46469e-05	0.000107872	9.41137e-05	8.62933e-05	9.80741e-05	0.000116147	0.000126323	0.000109246	2.4212e-05	8.19661e-05	0.000130047	0.000149156	6.80279e-05	9.11802e-05	0.000127912	7.12367e-05	3.49234e-05	0.000118647	0.000127137	7.93088e-05	0.000122555	9.58735e-05	0.000131625	0.000136783	0.000129779	9.45172e-05	5.89814e-05	7.97615e-05	0.000208507	6.66807e-05	0.000101915	7.47967e-05	5.67973e-05
2.7.1.100	1.0267014914000009e-05	8.611545958333326e-06	1.1173873843333347e-05	6.09626725999999e-06	9.49663e-06	7.83488521066666e-06	1.2117318723333346e-05	8.269169640000001e-06	6.887595679999994e-06	6.424192946666659e-06	1.0422342727333341e-05	9.333083156666667e-06	6.219662956666664e-06	8.2513e-06	1.115990517333335e-05	8.394202984999987e-06	5.67715e-06	7.365437399666664e-06	8.967101945000004e-06	1.0036111433333344e-05	1.0385544783333347e-05	7.640897720000004e-06	1.0943712006190487e-05	8.824875404333335e-06	7.016798840999996e-06	8.92762e-06	9.48958e-06	1.3555283220000037e-05	1.13852e-05	7.96684524399999e-06	6.16088e-06	1.2208235995000022e-05	9.064313345000015e-06	1.1464350024000023e-05	5.30472e-06	7.99276435766666e-06	8.44345e-06	8.769679534666662e-06	1.0390798633333343e-05	9.742863450666671e-06	8.877738254666666e-06	4.46048e-06	9.361370681666662e-06	6.88249e-06	7.93868e-06	9.836329694666677e-06	1.1434288048333356e-05	1.1844711318333371e-05	1.1337346833000015e-05	9.442844024666664e-06	1.01398e-05	5.03105e-06	6.80554e-06	7.990724590999994e-06	7.3895943833333236e-06	1.75532e-05	1.0398541648666678e-05	7.132721092666662e-06
