#OTU ID	LD-Run1-02	LD-Run1-03	LD-Run1-04	LD-Run1-05	LD-Run1-06	LD-Run1-07	LD-Run1-08	LD-Run1-09	LD-Run1-10	LD-Run1-11	LD-Run1-12	LD-Run2-01	LD-Run2-02	LD-Run2-03	LD-Run2-04	LD-Run2-05	LD-Run2-06	LD-Run2-07	LD-Run2-08	LD-Run2-09	LD-Run2-10	LD-Run2-11	LD-Run2-12	LD-Run2-13	LD-Run2-14	LD-Run2-15	LD-Run2-16	LD-Run2-18	LD-Run2-19	LD-Run2-20	LD-Run2-21	LD-Run2-22	LD-Run2-23	LD-Run2-24	LD-Run2-25	LD-Run2-26	LD-Run2-27	LD-Run2-28	LD-Run2-29	LD-Run2-30	LD-Run2-32	LD-Run2-33	LD-Run2-34	LD-Run2-35	LD-Run2-36	LD-Run2-37
4.6.1.2	0.0	0.0	0.0	0.0	0.0	2.21908e-07	0.0	0.0	0.0	0.0	1.29504e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.7.1.1	3.0721e-06	4.0755e-06	0.0	1.834281e-05	9.835859999999999e-08	0.0	6.38577e-06	7.47252e-06	0.0	1.67576e-05	6.30719e-08	2.212e-07	7.45994e-06	7.308e-07	0.0	5.34346e-06	0.0	2.145717e-05	4.76716e-06	2.0436529999999998e-06	0.0	3.57211e-05	0.0	0.0	0.0	0.0	0.0	2.6036948e-05	0.0	0.0	4.796e-07	0.0	4.8681e-05	0.0	0.0	9.13584e-06	4.91999e-06	0.0	0.0	2.37445e-07	0.000116324	0.0	0.0	1.43825e-06	2.5940212e-05	0.0
4.99.1.1	0.000142251556	3.22215411e-05	4.49629e-07	3.9484334e-05	1.529065e-06	9.060238e-06	0.00010643575520000001	3.21281986e-05	2.266264e-05	0.00010527173100000001	1.2184182799999998e-05	4.539794099999999e-05	7.095211000000002e-05	4.7920389e-05	0.0001410267	7.02733e-06	9.096298e-05	9.0611974e-05	7.664095e-05	6.7405395e-05	5.79669e-05	5.844812e-05	0.0	5.87736e-07	2.69738e-06	0.0	0.0	2.7321105000000002e-05	3.642267e-06	1.9508589999999997e-05	3.9082337e-05	3.9533520000000005e-06	0.0	0.0	4.05054e-06	9.078011999999999e-05	0.00018360972	3.7097e-05	1.6766635e-05	2.0369445e-05	6.07306e-05	1.23375e-06	3.7951679999999996e-05	4.956382e-06	3.23253e-06	4.0814639999999997e-05
4.99.1.12	5.06715e-07	4.740248999999999e-06	5.15045e-07	0.0	5.364458e-06	1.959835e-06	3.475e-07	1.903132e-06	6.6951600000000005e-06	0.0	1.346832e-06	1.57102e-06	0.0	6.32026e-06	0.0	0.0	0.0	0.0	1.8174e-06	0.0	0.0	0.0	3.344185e-06	3.516466e-06	2.8519800000000003e-06	0.0	0.0	1.0319819999999999e-05	0.0	5.023000000000001e-06	8.22759e-07	2.6362730000000003e-05	7.46603e-06	0.0	0.0	0.0	2.372299e-05	0.0	2.61345e-06	3.9555559999999995e-06	0.0	9.99978e-06	3.46043e-06	0.0	0.0	0.0
4.99.1.2	0.0	0.0	0.0	0.0	0.0	0.0	6.15279e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.99.1.3	1.601881e-06	8.251842000000001e-06	0.0	0.0	6.2169589999999994e-06	1.462506e-06	5.350907e-06	4.185903999999999e-06	4.960523e-05	0.0	6.52109e-06	3.2973529999999997e-06	5.61312e-06	1.80906e-06	0.0	0.0	0.0	0.0	2.488467e-05	0.0	0.0	0.0	1.1496e-06	4.1907250000000004e-06	9.33416e-07	0.0	0.0	8.65641e-06	1.88287e-06	2.330313e-05	5.909176e-05	0.0	6.34576e-06	0.0	0.0	2.180721e-06	0.0	0.0	2.23222e-06	8.395397e-06	3.927295e-05	3.25516e-06	1.038045e-05	1.83653e-06	0.0	0.0
4.99.1.4	1.1857782000000001e-05	5.6649074999999994e-06	0.0	1.178817e-05	7.657149999999999e-07	0.0	5.3843109000000004e-05	1.634194e-05	2.6403179999999996e-06	3.90156e-05	6.212118e-07	5.502385999999999e-06	1.89581e-05	0.0	0.0	5.789765e-06	0.0	2.9017910000000003e-05	3.5352210000000004e-05	1.0933609999999999e-05	0.0	4.62476e-05	1.5836399999999998e-06	4.79499e-07	0.0	1.821e-05	0.0	2.2095693000000003e-05	0.0	0.0	3.81485e-07	1.89368e-06	8.38821e-06	0.0	0.0	4.3536159000000006e-05	2.648495e-05	0.0	0.0	1.19001e-06	5.8200629999999995e-05	2.8816939999999997e-06	0.0	6.38687e-06	0.0	0.0
5.1.1.1	0.00029327191100000016	0.00021234557389999997	1.0772259e-05	9.8905105e-05	7.36214034e-05	5.6341793999999987e-05	0.0003787268600000001	0.0001485061840000001	0.000177076595	0.00030009907199999994	5.3221951500000004e-05	0.00022103415039999996	0.00015059108	0.000224017703	0.0002668748	4.508432800000001e-05	0.00019137945	0.00018844194600000004	0.00022593550000000003	0.000168465124	0.00012219618	0.00029170935000000003	0.00013747601900000004	0.000169741853	0.000162495613	8.33444e-05	0.0	0.00018375608999999997	4.938496200000001e-05	0.000147917163	0.00029041671800000005	0.00017385331000000003	0.00011841416999999999	8.292493e-05	0.00015824185	0.0003024110633999999	0.00028607081499999997	0.00012544287	0.00010537169	0.00016295894400000002	0.00019775895	0.000182638448	8.050788300000002e-05	5.7121040999999996e-05	5.5256509999999996e-05	0.000164805071
5.1.1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.23722e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.1.1.13	4.311799e-06	8.143729e-06	0.0	0.0	9.53394e-07	4.09103e-06	4.8044819e-05	1.4864774000000001e-05	1.9660464e-05	8.72951e-06	7.547557e-06	7.8087e-06	0.0	0.0	0.0	0.0	0.0	5.541059999999999e-06	3.49257e-06	0.0	0.0	0.0	6.66647e-07	0.0	1.76464e-06	0.0	0.0	3.1278810000000003e-06	4.00739e-06	0.0	1.51126e-06	0.0	0.0	0.0	0.0	6.504859999999999e-05	1.0295400000000001e-05	1.19533e-05	4.9319999999999995e-06	1.8438e-06	1.9663070000000003e-05	0.0	0.0	2.45771e-06	0.0	9.87012e-06
5.1.1.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63545e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.1.1.20	1.055514e-05	2.57315e-06	0.0	7.38055e-06	9.903809000000001e-06	0.0	1.801129e-05	3.17671e-06	3.08167e-07	4.173624e-06	3.462677e-06	4.2440884e-06	1.28154e-05	0.0	0.0	2.73744e-06	0.0	6.84297e-06	1.0816392e-05	2.69408e-06	0.0	1.59195e-05	0.0	0.0	0.0	0.0	0.0	1.062022e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.524019e-05	7.99762e-07	0.0	7.69228e-07	6.18563e-07	9.16008e-06	4.05289e-07	2.28832e-06	1.39556e-05	0.0	4.71459e-06
5.1.1.3	0.00011651235599999999	0.00015891158859999993	1.9055816000000002e-05	6.0892047e-05	7.123077560000002e-05	5.7111366e-05	0.0001210330366	7.318405300000001e-05	0.00019455844199999997	0.000190007985	4.6630385999999995e-05	0.000202503977	0.00011231903	0.00017357517000000003	0.000126775	2.812985e-05	9.285285999999999e-05	0.00010824258599999999	0.00013163252	0.000106687113	4.68863e-05	0.00016360252	0.00014075104099999997	0.000196760443	0.00023597855999999998	0.0	0.0	0.00025498281600000005	4.5268003e-05	0.00014415802	0.00026364404099999994	0.00019244075800000003	0.00011854146000000001	0.00012938250999999998	0.00019245062000000003	0.00011148282800000003	0.00026812002	0.00016409910999999998	9.576004599999998e-05	0.00017745335900000005	8.312304e-05	0.000246264885	4.2716978e-05	6.6731534e-05	4.6498977999999996e-05	0.00014271483999999993
5.1.1.4	0.0	1.8135e-07	0.0	0.0	0.0	0.0	0.0	5.17812e-07	4.65989e-06	0.0	2.53396e-07	6.53597e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09216e-06	0.0	0.0	0.0	0.0	0.0	0.0	2.08819e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
