#OTU ID	TRAVELRES10	TRAVELRES11	TRAVELRES12	TRAVELRES13	TRAVELRES14	TRAVELRES15	TRAVELRES16	TRAVELRES17	TRAVELRES18	TRAVELRES19	TRAVELRES2	TRAVELRES20	TRAVELRES21	TRAVELRES22	TRAVELRES23	TRAVELRES24	TRAVELRES25	TRAVELRES26	TRAVELRES27	TRAVELRES28	TRAVELRES29	TRAVELRES3	TRAVELRES30	TRAVELRES31	TRAVELRES32	TRAVELRES33	TRAVELRES34	TRAVELRES35	TRAVELRES36	TRAVELRES37	TRAVELRES38	TRAVELRES39	TRAVELRES4	TRAVELRES40	TRAVELRES41	TRAVELRES42	TRAVELRES43	TRAVELRES44	TRAVELRES45	TRAVELRES46	TRAVELRES47	TRAVELRES48	TRAVELRES49	TRAVELRES5	TRAVELRES50	TRAVELRES51	TRAVELRES52	TRAVELRES53	TRAVELRES54	TRAVELRES55	TRAVELRES56	TRAVELRES57	TRAVELRES58	TRAVELRES59	TRAVELRES6	TRAVELRES60	TRAVELRES61	TRAVELRES62	TRAVELRES63	TRAVELRES64	TRAVELRES65	TRAVELRES66	TRAVELRES67	TRAVELRES68	TRAVELRES69	TRAVELRES7	TRAVELRES70	TRAVELRES8	TRAVELRES9
UNMAPPED	0.214704	0.331588	0.261935	0.25241	0.190536	0.286727	0.163789	0.209141	0.232395	0.206627	0.155555	0.180971	0.203544	0.1714	0.164039	0.153877	0.161171	0.276771	0.204022	0.187563	0.199935	0.183599	0.178861	0.259092	0.164514	0.169381	0.142971	0.124939	0.22694	0.239855	0.168432	0.165309	0.217549	0.185896	0.230285	0.163639	0.174121	0.162435	0.164247	0.226208	0.253191	0.216331	0.200475	0.401936	0.173391	0.211606	0.174837	0.137743	0.154094	0.182663	0.169813	0.201373	0.162046	0.165753	0.17399	0.227468	0.206261	0.173271	0.181059	0.249631	0.281925	0.214635	0.189912	0.184139	0.183368	0.173001	0.187896	0.16918	0.215334
UNGROUPED	0.7115318860037941	0.5963195885511341	0.6608726590528227	0.6677989672655668	0.7300395380426462	0.6430104113914621	0.7453650424631235	0.694382115565101	0.692415780074541	0.7150877023338547	0.7605490300795168	0.7335041334254807	0.7136729089065995	0.7363951331878319	0.745719554586254	0.7671138701249971	0.7581641904072618	0.6525989113724225	0.7124093154492386	0.7246157974139339	0.7193177800926652	0.737843744991064	0.733746731801196	0.655744889702052	0.7482617484292309	0.7393327898024589	0.7668287698377779	0.7911982752878817	0.6933139469796186	0.681542445802795	0.7311073101372547	0.7345729633259953	0.7016940439111351	0.7235698293437499	0.6890701685889351	0.746266800804715	0.7366631454243004	0.7589530513494928	0.743520795827033	0.6953642722640754	0.6607252380759695	0.700668621409806	0.7147611121801389	0.541365947585913	0.7483850712090201	0.707151533378138	0.7430803714535044	0.7665010920188682	0.7608573638999218	0.7412711743355338	0.7457012877139629	0.7171596222186436	0.7368708692330105	0.7550690604843333	0.7372822388127818	0.7015792055237708	0.7055539437877295	0.742859662348354	0.7387662160495524	0.6737971374438249	0.6435712033488488	0.706693634961772	0.7304052544672448	0.7274299649568151	0.7404297024074397	0.7484516973315157	0.7221122717500272	0.7504279236521428	0.695179467548811
1.1.1.1	1.9932109099999998e-05	4.54833613e-05	3.870260366000001e-05	3.43367255e-05	4.2681010399999994e-05	3.992987715e-05	2.6484690099999998e-05	6.536164508999999e-05	3.662724479999999e-05	3.6034429410000024e-05	5.186028738e-05	0.00010516476449999999	3.100257418e-05	7.210578664e-05	4.6681509279999976e-05	5.6267230869999986e-05	5.2363163200000016e-05	3.838635019999999e-05	5.356502394e-05	5.474632790000002e-05	3.76956851e-05	3.783618010000002e-05	5.3636411999999986e-05	2.8229226140000013e-05	4.325915257e-05	5.932379631000002e-05	5.534965619999999e-05	3.1589759159999985e-05	8.025873750000005e-05	3.59587834e-05	7.954244949999998e-05	9.612320510000001e-05	6.114980929999999e-05	5.820199090000004e-05	3.871487717000001e-05	4.9433324599999995e-05	4.532115826000003e-05	3.9305584200000005e-05	0.00011468250236000003	4.885531907e-05	8.593685185999999e-05	4.3123579299999985e-05	4.89721524e-05	2.11047237e-05	1.9202774500000006e-05	5.043047435000002e-05	2.6282404279999997e-05	7.082410079999999e-05	5.61550646e-05	4.599983367999999e-05	4.080103720000001e-05	5.886044288000001e-05	0.00011970437330000002	4.104586225e-05	4.697567238000001e-05	4.7504617109999994e-05	5.16261902e-05	4.844711847e-05	5.4073617010000007e-05	4.4970809329999995e-05	8.866968289999999e-05	1.9757000999999997e-05	2.2577433610000005e-05	8.799486489999999e-05	4.239623006999998e-05	3.824843019999998e-05	8.136670971000004e-05	2.6533351010000005e-05	5.6369322009999986e-05
1.1.1.100	8.178132660000001e-05	8.07530116e-05	0.00011978179970000001	0.00014865982289999997	9.994332060000001e-05	8.107196050000002e-05	0.00014793210499999994	0.00020237726549999995	0.00012095922660000001	0.00011441022929999996	0.00015557830195000002	0.00014255411629999994	0.00012062600053999996	0.00022270368260000008	0.00018139408381000018	0.0001309174560899999	0.00013473062839999998	0.00010909205889999998	0.00012772397844	0.0001947634997999999	0.0001371368036	0.00021492339562999998	0.0001822195895	7.503976830000005e-05	0.00022166541688000007	0.00020520602879	0.00021636579511999992	0.00017005442590000002	0.00013746478900000003	0.0001083433471	0.0003027034957	0.00026219907480000014	0.0001359026268	0.0002314099138	9.581583119999997e-05	0.00018635217252000006	0.00015127980240000005	0.00015790817799999997	0.00025787471266999984	0.00014806949640000004	0.00015923306239999996	0.00012048693230000004	0.0001325698763	5.185989470000001e-05	5.541731499999999e-05	0.00010902178309999994	0.00023397165085999996	0.00025093653880000006	0.00030986492252000025	0.000273271125	0.00014359887427	0.00013058670080000003	0.00021187704640000007	0.00011726325029999998	0.00016602755147999992	0.00010514520756999996	0.00018435480640000002	0.00016861224159999994	0.00013478036431999993	4.880418633000001e-05	4.3405556000000017e-05	0.00014547842020000003	0.00012982262336999994	0.00020610779720000005	8.87826476e-05	0.00013116396870000002	0.0002480085352399999	0.00014895731	0.00019759122399999997
1.1.1.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.53845e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.41017e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15236e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.103	1.834329e-05	3.722965356e-05	1.4161356840000008e-05	1.4650208200000001e-05	8.017819399999996e-06	1.1968733299999998e-05	3.9571327650000004e-05	1.7150821360000007e-05	9.820852700000001e-06	1.6953848480000007e-05	3.7204684990000016e-05	1.3507392069999999e-05	1.8439294829999997e-05	3.4595576539999996e-05	3.210070987000001e-05	1.8701860780000005e-05	3.4439357099999995e-05	1.3965510200000001e-05	2.606068264000001e-05	2.5117586300000005e-05	2.2720328400000003e-05	3.944072516999999e-05	2.4201064100000004e-05	1.271183275e-05	3.9424861120000014e-05	4.4722294120000005e-05	3.5701241280000004e-05	7.615291835000003e-05	2.8019171079999997e-05	2.2136579199999996e-05	3.820528740000001e-05	5.040940432000001e-05	2.54644931e-05	3.6208749000000005e-05	1.921046855e-05	1.5021426640000002e-05	2.2741581919999995e-05	2.62419571e-05	1.3676257669999997e-05	2.5758748620000005e-05	1.2901388769999995e-05	1.3656143399999999e-05	2.372403277e-05	9.6613206e-06	6.246260999999999e-06	1.7878216180000005e-05	4.006595929e-05	8.045068669999998e-05	8.638086690000001e-05	5.4246696e-05	3.134645052e-05	2.1217792299999995e-05	1.9143616599999998e-05	2.7351665320000007e-05	2.9887801830000004e-05	1.981098499e-05	2.8320194999999997e-05	1.700304141999999e-05	1.7605675419999998e-05	9.654721000000002e-06	8.327275299999999e-06	3.306054e-05	2.126236281e-05	1.3462754399999996e-05	1.3329226709999997e-05	1.7723067799999996e-05	2.2871447049999987e-05	3.1230755799999996e-05	3.1199462900000006e-05
1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.55313e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.76448e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.107	1.93792e-07	0.0	0.0	0.0	0.0	2.24139e-07	0.0	0.0	0.0	0.0	0.0	9.18028e-08	0.0	0.0	0.0	0.0	0.0	0.0	3.84213e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.62608e-08	0.0	0.0	0.0	0.0	0.0	0.0	5.73436e-07	0.0	0.0	0.0	0.0
1.1.1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0194544e-07	0.0	9.77913e-07	2.1294e-07	1.56291e-07	2.55664e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.53808e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06542e-07	0.0	0.0	0.0	6.87622e-08	0.0	0.0	3.68026e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4700799999999996e-06	0.0	0.0	5.8371e-08	0.0	0.0	1.71879e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.825266e-07
