	SRR6915103_500K_merged_Abundance.RPKs	SRR6915104_500K_merged_Abundance.RPKs	SRR6915105_500K_merged_Abundance.RPKs	SRR6915106_500K_merged_Abundance.RPKs	SRR6915107_500K_merged_Abundance.RPKs	SRR6915108_500K_merged_Abundance.RPKs	SRR6915109_500K_merged_Abundance.RPKs	SRR6915110_500K_merged_Abundance.RPKs	SRR6915111_500K_merged_Abundance.RPKs	SRR6915112_500K_merged_Abundance.RPKs	SRR6915114_500K_merged_Abundance.RPKs	SRR6915117_500K_merged_Abundance.RPKs	SRR6915125_500K_merged_Abundance.RPKs	SRR6915126_500K_merged_Abundance.RPKs	SRR6915127_500K_merged_Abundance.RPKs	SRR6915128_500K_merged_Abundance.RPKs	SRR6915129_500K_merged_Abundance.RPKs	SRR6915130_500K_merged_Abundance.RPKs	SRR6915131_500K_merged_Abundance.RPKs	SRR6915132_500K_merged_Abundance.RPKs	SRR6915133_500K_merged_Abundance.RPKs	SRR6915134_500K_merged_Abundance.RPKs	SRR6915135_500K_merged_Abundance.RPKs	SRR6915136_500K_merged_Abundance.RPKs	SRR6915147_500K_merged_Abundance.RPKs	SRR6915149_500K_merged_Abundance.RPKs	SRR6915150_500K_merged_Abundance.RPKs	SRR6915151_500K_merged_Abundance.RPKs	SRR6915152_500K_merged_Abundance.RPKs	SRR6915153_500K_merged_Abundance.RPKs	SRR6915155_500K_merged_Abundance.RPKs	SRR6915156_500K_merged_Abundance.RPKs	SRR6915167_500K_merged_Abundance.RPKs	SRR6915168_500K_merged_Abundance.RPKs	SRR6915169_500K_merged_Abundance.RPKs	SRR6915170_500K_merged_Abundance.RPKs	SRR6915171_500K_merged_Abundance.RPKs	SRR6915172_500K_merged_Abundance.RPKs	SRR6915173_500K_merged_Abundance.RPKs	SRR6915174_500K_merged_Abundance.RPKs	SRR6915175_500K_merged_Abundance.RPKs	SRR6915176_500K_merged_Abundance.RPKs	SRR6915177_500K_merged_Abundance.RPKs	SRR6915178_500K_merged_Abundance.RPKs	SRR6915179_500K_merged_Abundance.RPKs	SRR6915180_500K_merged_Abundance.RPKs	SRR6915181_500K_merged_Abundance.RPKs	SRR6915182_500K_merged_Abundance.RPKs	SRR6915183_500K_merged_Abundance.RPKs	SRR6915184_500K_merged_Abundance.RPKs	SRR6915185_500K_merged_Abundance.RPKs	SRR6915186_500K_merged_Abundance.RPKs	SRR6915195_500K_merged_Abundance.RPKs	SRR6915196_500K_merged_Abundance.RPKs	SRR6915197_500K_merged_Abundance.RPKs	SRR6915198_500K_merged_Abundance.RPKs	SRR6915199_500K_merged_Abundance.RPKs	SRR6915200_500K_merged_Abundance.RPKs
2.7.7.49	0.000128711	3.81048e-05	8.59842e-05	0.000116893	0.000229478	5.69795e-05	0.000125233	6.84207e-05	9.22592e-05	0.000178878	8.76147e-05	0.000183071	0.000160312	0.000218869	2.20518e-05	3.39331e-05	8.60375e-05	0.000192077	0.000125513	0.000173059	6.29768e-05	0.00011383	0.000206214	5.99577e-05	5.14864e-05	0.000133666	4.88646e-05	0.000179229	9.26891e-05	0.000143623	0.000114358	9.95155e-05	9.31823e-05	3.91768e-05	0.000144566	7.05421e-05	0.000144487	0.000192363	0.000209717	9.18605e-05	0.00040348	7.61621e-05	9.84864e-05	0.000174982	0.000143031	0.000307274	0.000196762	3.30492e-05	0.000334864	0.000356636	8.82001e-05	0.000128578	0.000125997	0.0001856	0.000116015	0.00019543	0.000201407	9.2987e-05
1.1.1.350	1.3791969947796174e-07	2.6328408062185063e-08	2.974580844836249e-07	1.94008e-06	4.0273297680370154e-08	4.961078013625413e-08	4.1003894893404936e-07	3.565518706271771e-08	4.381527024948253e-08	6.289707900677777e-08	4.4789462142465654e-08	2.0616400364999645e-08	1.1314243051405652e-06	3.024961637962573e-07	5.5588757122765555e-08	5.935766739737437e-08	6.356708360799583e-08	2.958949346497472e-07	5.833691661608619e-08	7.574558992036318e-08	6.809036939199223e-08	6.420278081663585e-08	6.566362091403968e-08	2.6800389814460593e-08	4.2320179870852087e-07	6.313645338546286e-08	9.503665048957538e-09	5.3549035290644036e-08	1.6244085970975477e-08	4.4958551594608056e-07	2.0482063281500195e-08	1.7484718408506324e-07	4.250540477112242e-08	5.389187867419413e-08	5.359765331610648e-08	1.183111344635971e-08	1.7025848281565763e-08	3.0911103245204816e-08	3.168540664202145e-08	1.2572414762440736e-07	4.2418009225999834e-08	5.999317605106398e-08	4.850207550644173e-08	4.161157391713318e-08	2.07111e-06	3.7564840536061504e-08	5.2627465329585825e-08	5.3761888037561e-08	2.826473462863067e-07	2.900573885649282e-07	3.796282076723897e-08	5.2910463367569154e-08	2.7676678334576555e-08	1.8978478250922456e-08	2.520560802008892e-07	3.6074628081747174e-08	4.3179464730663804e-08	3.955487279527903e-08
2.7.1.197	4.073035018748418e-07	3.781521311229108e-07	7.263709699360646e-07	5.72798e-06	3.782594073925203e-07	3.8088506286756624e-07	5.640650449755982e-07	3.8187694297249335e-07	6.717501073590927e-07	4.281364475600979e-07	3.891106286612765e-07	4.434956820580536e-07	4.80538e-06	5.406331504137865e-07	4.0456658559944053e-07	8.814962611088425e-07	3.329176553926585e-07	6.500702050645893e-07	3.561190531665365e-07	7.815614615475652e-07	3.960889130752699e-07	7.447447774809166e-07	3.62017023102313e-07	4.625331501384818e-07	1.044831303602202e-06	8.191110113479317e-07	3.28643912494496e-07	5.498101040159821e-07	3.727974869351939e-07	7.571530741762421e-07	2.635235472725656e-07	8.410947533251747e-07	3.366604603513493e-07	3.965630275624303e-07	7.138209610457377e-07	2.956544589099753e-07	2.641514395381015e-07	5.760001697652651e-07	3.2922914294057223e-07	5.240744460079805e-07	4.5932079505143664e-07	4.0648305171158447e-07	4.0471814165089566e-07	4.757098043377038e-07	2.44511e-06	6.056799224244179e-07	7.504333352395947e-07	3.836205023077335e-07	4.447538172596128e-07	1.1177598333979014e-06	4.006039754392242e-07	3.531576904427516e-07	5.331292108280649e-07	3.213111449925785e-07	4.221034386587188e-07	3.845140160566649e-07	3.9761936629565935e-07	5.398710978678573e-07
2.6.1.87	2.533986526666662e-05	4.41448e-05	2.08779e-05	5.31931e-05	3.97708e-05	2.79754e-05	3.49957e-05	6.18831e-05	5.02077e-05	3.45807e-05	4.60673e-05	2.980118970666663e-05	0.000105955	0.0001412	2.526259226666663e-05	2.5621119266666595e-05	3.91083e-05	6.63003e-06	5.21434e-05	1.66864e-05	9.17193e-06	1.23044e-05	1.77539e-05	6.19679e-06	1.23182e-05	7.30018e-06	3.97167e-05	4.76194e-05	3.182863220000001e-05	4.55623e-06	6.38668e-05	2.6639822066666628e-05	5.21933e-05	3.26959e-05	3.67192e-05	2.87408e-05	0.000104011	0.000104957	4.10675e-05	3.71358e-05	3.1987e-05	2.4424388866666622e-05	2.7483952999999974e-05	6.05303e-05	9.93537e-06	3.69697e-05	2.5325823866666622e-05	2.77731e-05	5.53759e-05	2.79116e-05	7.33517e-05	2.47326e-05	7.92363e-06	7.09044e-06	1.74731e-05	2.26555e-05	5.18524e-06	2.7796261998095192e-05
1.2.1.72	6.73275e-06	6.772694219999998e-06	1.35673e-05	6.85058e-05	3.617232762399998e-06	3.6219878923999977e-06	6.9136e-06	3.621595621999999e-06	4.9488800960000025e-06	3.616452512399999e-06	3.5677213203999986e-06	2.7043998399999997e-08	3.87293e-05	5.35748e-06	4.6313440124000045e-06	4.687188284400002e-06	1.1044955003999994e-06	4.0886378944e-06	7.246219461999998e-06	8.33575e-06	3.6743830943999984e-06	3.629509682399999e-06	3.672518762399998e-06	3.6823487443999987e-06	6.29143e-06	4.211063560400001e-06	3.5616247079999985e-06	6.4344943844e-06	4.6747526684e-06	1.0883319184000007e-06	1.6476148666666667e-08	3.674233112399998e-06	2.898377806400003e-06	3.5946614280000084e-06	5.32029e-06	2.0894630400000007e-08	3.5795367160000017e-06	1.7988500986666665e-06	3.5586846439999984e-06	8.067663335999987e-06	3.574875076399999e-06	4.687188284400002e-06	4.680107146400002e-06	5.52124e-06	1.08705e-05	3.5199192339999996e-06	3.7048191224000018e-06	3.6456912984000025e-06	5.51009e-06	9.446546413999956e-06	2.2873734519999997e-06	2.4940974439999987e-06	4.652872264400009e-06	7.481308240000001e-08	3.6909507944000015e-06	3.9757403979999984e-06	7.508752684000006e-07	3.6246719123999986e-06
3.5.4.28	2.97778e-05	1.740781127333335e-05	1.756028943904761e-05	1.25946e-05	1.6921116120000015e-05	1.5498201245714296e-05	5.02552e-05	2.60313e-05	2.42434e-05	1.66571e-05	9.67874e-06	1.612129074904762e-05	8.53256e-06	1.7327221903333326e-05	4.40522e-05	1.714553963571429e-05	1.61532e-05	1.6806286705714306e-05	1.41057e-05	2.56744e-05	2.10323e-05	8.75473e-06	4.03151e-05	1.4129720996666651e-05	1.39327e-05	1.27141e-05	3.90744e-05	1.49466e-05	1.35628e-05	1.02527e-05	7.07247e-06	1.6426609230000007e-05	9.87394e-06	3.17556e-05	6.03483e-06	6.31539e-06	1.9396473060000025e-05	2.87797e-05	1.664663833666668e-05	2.10075e-05	1.64604e-05	1.547020803238095e-05	1.5187530429999991e-05	1.4365e-05	1.6905757972380954e-05	1.8417718606666678e-05	2.59548e-05	2.94068e-05	7.03563e-06	1.61303e-05	1.21183e-05	7.62722e-06	1.731806948238097e-05	5.10306e-06	1.673647572666668e-05	1.56716e-05	1.06355e-05	5.09943e-06
4.1.99.19	2.8543154000000033e-05	7.83978e-05	5.50929e-06	2.23007e-05	4.39398e-05	3.96652e-05	3.9798e-05	1.90644e-05	3.90528e-05	3.2348e-05	4.93648e-05	3.56849e-05	2.58596e-05	3.48423e-05	2.16629e-05	2.5993756600000065e-05	3.4160578999999955e-05	5.37957e-06	7.01732e-05	3.093547140000002e-05	1.78984e-05	8.47022e-06	2.33953e-05	2.25342e-05	1.99442e-05	4.97177e-05	3.43933e-05	1.9666e-05	2.62543e-05	1.5961e-05	8.08089e-05	2.19179e-05	2.10146e-05	1.31553e-05	2.46698e-05	2.51275e-05	5.02415e-05	3.95216e-05	5.05258e-05	7.57566e-06	3.92702e-05	1.32812e-05	4.30379e-05	7.88648e-05	4.0549e-05	4.53936e-05	2.64782e-05	8.72247e-06	1.21258e-05	2.28268e-05	6.43539e-05	4.54913e-05	1.72167e-05	8.53858e-06	2.08742e-05	8.98088e-05	1.11223e-05	7.35256e-06
2.4.1.7	2.42245e-05	1.34222e-05	5.37605e-06	7.41228e-05	3.794059900000003e-06	5.59532e-06	2.16756e-05	5.90716e-06	2.68683e-05	1.23892e-05	5.579519059999973e-06	4.694922119999993e-06	1.63636e-05	8.41188e-06	2.58511e-05	5.777950459999974e-06	5.423966699999977e-06	3.803379032000011e-06	1.18205e-05	6.210193613333311e-06	4.96759e-05	1.5349775519999928e-05	3.833373440000007e-06	5.770507899999978e-06	5.777950459999974e-06	4.61550337999999e-06	2.792e-05	3.683370620000004e-06	4.919387479999984e-06	8.46707e-06	5.3527329799999706e-06	9.50658e-06	6.78699e-06	7.834741849999982e-06	2.51487e-05	4.7309806199999844e-06	1.05808e-05	5.87999e-05	9.32482e-06	1.46308e-05	3.6385910800000085e-06	5.0093158799999785e-06	4.890452139999983e-06	6.891237739999974e-06	1.77344e-05	1.29676e-05	4.98350413999998e-06	7.70533e-06	7.291876559999984e-06	5.316997319999979e-06	6.79172e-06	5.753051299999973e-06	4.022405619999996e-06	1.14813e-05	4.7739062599999886e-06	1.53836e-05	1.19588e-05	5.777950459999974e-06
2.1.1.14	6.22693e-05	3.52025e-05	9.04065e-06	0.000148232	5.8239460599999896e-05	4.72677e-05	4.89831e-05	5.609703180000001e-05	4.42559e-05	4.2297e-05	1.86384e-05	5.76269e-05	8.11273e-05	2.06838e-05	1.1395e-05	2.35693e-05	1.95792e-05	5.9971219999999947e-05	4.74861e-05	1.08679e-05	3.78303e-05	4.0638e-05	5.26274e-06	6.85488e-05	2.14495e-05	1.85808e-05	4.92871e-05	1.35818e-05	9.73747e-05	2.66742e-05	4.54226e-05	5.89329e-05	7.24397e-05	4.5542e-05	5.09208e-05	3.04472e-05	4.73501e-05	3.48161e-05	1.27627e-05	2.67258e-05	3.54844e-05	1.06229e-05	8.62484e-05	6.32228e-05	5.94192e-05	2.42078e-05	5.848947659999988e-05	3.68903e-05	2.75723e-05	6.12012e-06	1.84734e-05	1.94874e-05	1.09626e-05	3.11048e-05	5.60086e-06	7.8576e-05	3.58638e-05	2.72061e-05
2.4.1.305	2.2428989255324072e-07	6.539607857041726e-08	2.481549101728635e-07	6.703523081520804e-07	1.3446652830132368e-07	1.4588041114788397e-07	2.1100913086278932e-07	1.1362660757188195e-07	3.6426889845058666e-08	6.87956894486128e-08	1.675391696856465e-07	2.4206344653279356e-07	2.6263787397394214e-07	2.8430516890481174e-07	2.1071082512311347e-07	2.3348897289657907e-07	8.006557078899171e-08	2.728435000446762e-07	8.761877004815298e-09	2.4490923892125344e-07	2.4298783013908455e-07	2.8463671668610154e-07	2.9417463700467458e-08	2.64803939147884e-07	1.6006622392356723e-07	2.5959375914788395e-07	7.488733843429383e-08	1.9780050918167362e-07	1.7994836968650338e-07	2.0985937036388603e-07	4.593797133614572e-08	1.522300297620091e-07	1.3452092245223182e-07	2.434530491478838e-07	1.7744295653145868e-07	3.3648979445058655e-08	1.1133500747973869e-08	2.4775820136924504e-07	1.6552639277688916e-07	2.132163929942189e-07	1.9180743566249195e-07	1.5375527714788395e-07	1.0655530026753404e-07	1.5163615555396836e-08	1.6819820782104983e-07	1.7405066566249203e-07	2.320351988965791e-07	2.5825324265231175e-07	1.925061737066802e-07	2.57009089147884e-07	4.75622380317979e-08	1.8224928562870235e-07	1.6190489314788396e-07	6.183487548417882e-08	2.649865926523119e-07	1.7969670211729183e-07	1.9112978148260257e-07	2.8463671668610154e-07
6.2.1.14	7.889200486799995e-06	8.062681687199993e-06	8.249091695999987e-06	9.041362485666624e-06	9.895840213333314e-06	8.150534701533323e-06	8.766096733e-06	8.301398833809512e-06	8.552562415833325e-06	8.383788805833332e-06	1.35951e-05	8.031008266476182e-06	8.73449060416664e-06	8.087474859199985e-06	8.186692881142846e-06	2.48308e-05	7.986399952809518e-06	1.0319e-05	8.10733713899999e-06	8.235960168833319e-06	8.349401077999986e-06	4.45308e-06	9.359033305666647e-06	7.657529744733317e-06	8.207598315809514e-06	8.27853587433332e-06	7.833748365476183e-06	8.290280763333318e-06	7.743977097266683e-06	8.68501e-06	7.868491840142852e-06	8.045550591476185e-06	8.915332411309497e-06	8.459345501999989e-06	1.10485e-05	8.227792791976184e-06	8.489920388866644e-06	7.189864012509508e-06	8.490604857666659e-06	8.4109109655e-06	8.66388034066665e-06	7.544945546742849e-06	8.45560455199999e-06	8.870942878999991e-06	9.352549434166629e-06	8.08255322814284e-06	8.308589250666651e-06	1.17918e-05	7.733863610476182e-06	9.021822852476161e-06	8.509738626142845e-06	8.533979221766657e-06	9.455324379333314e-06	4.9879309458095315e-06	8.361023527999986e-06	8.165186204866658e-06	8.108209801476182e-06	8.168461857633317e-06
6.3.5.7	0.000119887	7.4643e-05	0.000105983	4.33691e-05	8.61322e-05	7.29378e-05	0.000116218	5.82905e-05	6.10032e-05	6.90327e-05	6.61368e-05	0.000113178	5.70607e-05	5.01755e-05	0.000108976	3.65331e-05	8.92176e-05	5.6379e-05	7.40076e-05	7.51596e-05	4.59674e-05	8.12229e-05	8.20826e-05	0.000133034	9.89168e-05	6.8419e-05	0.000108761	3.87639e-05	8.84281e-05	9.35036e-05	0.000134321	0.00011943	5.26161e-05	5.9871e-05	7.16411e-05	0.000114148	0.000133718	7.02606e-05	7.44843e-05	0.000132818	2.52571e-05	1.84069e-05	0.000135231	0.000147225	9.5251e-05	3.94216e-05	7.76091e-05	5.6486e-05	0.000104609	3.73126e-05	0.000106423	5.88437e-05	6.42032e-05	0.000136696	8.20173e-05	0.000126962	0.000143832	5.74637e-05
2.7.4.21	5.67212e-10	5.67212e-10	0.0	0.0	0.0	5.67212e-10	5.67212e-10	0.0	0.0	5.67212e-10	0.0	5.67212e-10	0.0	0.0	5.67212e-10	5.67212e-10	5.67212e-10	0.0	0.0	0.0	5.67212e-10	5.67212e-10	5.67212e-10	5.67212e-10	5.67212e-10	5.67212e-10	0.0	0.0	5.67212e-10	5.67212e-10	0.0	5.67212e-10	0.0	0.0	0.0	5.67212e-10	0.0	1.7016359999999999e-09	5.67212e-10	0.0	5.67212e-10	5.67212e-10	5.67212e-10	5.67212e-10	5.67212e-10	0.0	0.0	0.0	5.67212e-10	0.0	5.67212e-10	0.0	0.0	5.67212e-10	5.67212e-10	5.67212e-10	5.67212e-10	5.67212e-10
1.1.1.268	2.707930090133335e-06	3.143924015333333e-06	5.16374337113335e-06	1.2326457124000037e-05	4.075326285666671e-06	5.04003708466668e-06	5.141573191000014e-06	1.928688776e-06	1.4748567241999978e-06	2.468333178700001e-06	3.7668064940000035e-06	4.304651006200007e-06	6.51871e-06	4.63309505600001e-06	4.449367489633339e-06	4.079661546000007e-06	2.9967745628238116e-06	5.0381124166666795e-06	4.777548304000014e-06	5.7505e-05	4.112732327866669e-06	4.921527650066682e-06	5.0028477878666795e-06	4.257836529866672e-06	2.8434249560666683e-06	4.780545081000014e-06	2.4934632716666664e-06	4.89668072486668e-06	4.952011677866678e-06	4.394884534866677e-06	4.3363610480000075e-06	4.283123899666672e-06	3.869086872000007e-06	5.120682198866681e-06	3.4940873514500063e-06	1.9821679018666674e-06	2.9706166973333345e-06	3.6623635757333382e-06	2.8281458352000027e-06	4.63869e-05	5.631420210000006e-06	8.44159e-06	4.063523051200006e-06	4.136510420928575e-06	3.828671976600005e-06	4.681626570595239e-06	4.879638208666679e-06	6.593209987428567e-06	5.86782576700001e-06	5.699732205000005e-06	2.2233200132333347e-06	2.606247576166666e-06	4.059086778666673e-06	2.6687468382000012e-06	4.988858394000011e-06	1.8175905114952377e-06	3.851646873700003e-06	4.801077464000012e-06
3.7.1.11	1.0955322e-08	0.0	1.0955322e-08	2.310312199999999e-08	0.0	1.0955322e-08	3.651774e-09	1.0955322e-08	1.0955322e-08	0.0	0.0	1.0955322e-08	5.152975999999999e-09	0.0	1.0955322e-08	1.0955322e-08	1.0955322e-08	1.0955322e-08	0.0	1.0955322e-08	1.0955322e-08	1.0955322e-08	1.0955322e-08	1.0955322e-08	1.0955322e-08	1.0955322e-08	0.0	1.0955322e-08	1.0955322e-08	1.0955322e-08	1.0955322e-08	1.932366e-09	0.0	3.651774e-09	1.2887687999999997e-08	1.0955322e-08	1.4607095999999997e-08	1.6784341999999996e-08	0.0	0.0	6.749944000000001e-09	1.0955322e-08	1.0955322e-08	0.0	0.0	0.0	1.0955322e-08	1.5618537999999994e-08	0.0	1.0955322e-08	1.0955322e-08	4.940018000000001e-09	1.0955322e-08	1.0955322e-08	1.0955322e-08	0.0	1.0955322e-08	1.2887687999999997e-08
