	SRR6915103_500K_merged_Abundance.RPKs	SRR6915104_500K_merged_Abundance.RPKs	SRR6915105_500K_merged_Abundance.RPKs	SRR6915106_500K_merged_Abundance.RPKs	SRR6915107_500K_merged_Abundance.RPKs	SRR6915108_500K_merged_Abundance.RPKs	SRR6915109_500K_merged_Abundance.RPKs	SRR6915110_500K_merged_Abundance.RPKs	SRR6915111_500K_merged_Abundance.RPKs	SRR6915112_500K_merged_Abundance.RPKs	SRR6915114_500K_merged_Abundance.RPKs	SRR6915117_500K_merged_Abundance.RPKs	SRR6915125_500K_merged_Abundance.RPKs	SRR6915126_500K_merged_Abundance.RPKs	SRR6915127_500K_merged_Abundance.RPKs	SRR6915128_500K_merged_Abundance.RPKs	SRR6915129_500K_merged_Abundance.RPKs	SRR6915130_500K_merged_Abundance.RPKs	SRR6915131_500K_merged_Abundance.RPKs	SRR6915132_500K_merged_Abundance.RPKs	SRR6915133_500K_merged_Abundance.RPKs	SRR6915134_500K_merged_Abundance.RPKs	SRR6915135_500K_merged_Abundance.RPKs	SRR6915136_500K_merged_Abundance.RPKs	SRR6915147_500K_merged_Abundance.RPKs	SRR6915149_500K_merged_Abundance.RPKs	SRR6915150_500K_merged_Abundance.RPKs	SRR6915151_500K_merged_Abundance.RPKs	SRR6915152_500K_merged_Abundance.RPKs	SRR6915153_500K_merged_Abundance.RPKs	SRR6915155_500K_merged_Abundance.RPKs	SRR6915156_500K_merged_Abundance.RPKs	SRR6915167_500K_merged_Abundance.RPKs	SRR6915168_500K_merged_Abundance.RPKs	SRR6915169_500K_merged_Abundance.RPKs	SRR6915170_500K_merged_Abundance.RPKs	SRR6915171_500K_merged_Abundance.RPKs	SRR6915172_500K_merged_Abundance.RPKs	SRR6915173_500K_merged_Abundance.RPKs	SRR6915174_500K_merged_Abundance.RPKs	SRR6915175_500K_merged_Abundance.RPKs	SRR6915176_500K_merged_Abundance.RPKs	SRR6915177_500K_merged_Abundance.RPKs	SRR6915178_500K_merged_Abundance.RPKs	SRR6915179_500K_merged_Abundance.RPKs	SRR6915180_500K_merged_Abundance.RPKs	SRR6915181_500K_merged_Abundance.RPKs	SRR6915182_500K_merged_Abundance.RPKs	SRR6915183_500K_merged_Abundance.RPKs	SRR6915184_500K_merged_Abundance.RPKs	SRR6915185_500K_merged_Abundance.RPKs	SRR6915186_500K_merged_Abundance.RPKs	SRR6915195_500K_merged_Abundance.RPKs	SRR6915196_500K_merged_Abundance.RPKs	SRR6915197_500K_merged_Abundance.RPKs	SRR6915198_500K_merged_Abundance.RPKs	SRR6915199_500K_merged_Abundance.RPKs	SRR6915200_500K_merged_Abundance.RPKs
1.1.1.261	8.11534e-06	3.01756e-05	2.6748586299999976e-05	1.9966760600000095e-05	9.41721e-06	7.99392e-06	5.68321e-06	7.12611e-06	3.94464e-05	1.36017e-05	2.68752e-05	8.07298e-06	4.04204e-06	9.01533e-06	2.1693502060000047e-05	2.0703799540000018e-05	2.148786878000003e-05	1.9438960973333368e-05	2.86692e-05	1.19973e-05	1.23923e-05	1.2413e-05	1.64175e-05	2.07641e-05	2.848874594952377e-05	7.11809e-06	2.6654753180000043e-05	1.98115e-05	3.4527e-05	2.103520854000002e-05	3.16531e-05	2.4161020642857152e-05	1.8399418953333354e-05	8.74451e-06	9.42467e-06	2.18715e-05	2.98949e-05	2.1882312329999993e-05	1.38021e-05	3.51334e-05	9.60172e-06	5.75009e-06	3.35997e-05	3.42765e-05	6.94559e-06	1.9797771880000038e-05	3.05562e-05	2.6301e-05	1.38654e-05	8.91282e-06	7.78218e-06	1.73524e-05	1.7992739983333357e-05	2.3884161620000058e-05	2.2843906330000035e-05	5.58496e-05	2.698685851666668e-05	8.39869e-06
1.12.98.1	1.9681433599999945e-06	7.166484599999974e-07	2.220964759999998e-06	7.521337999999981e-07	1.5200190999999967e-06	7.815704799999967e-07	7.236191599999979e-07	1.192155579999999e-06	1.7784790000000008e-07	1.412234599999998e-06	1.9800157999999996e-07	1.022271139999994e-06	3.809224000000001e-08	1.8044088399999946e-06	2.0187506599999943e-06	1.8513001800000015e-06	2.1920157199999977e-06	2.164784159999999e-06	1.5309350199999973e-06	2.4019225799999966e-06	2.0432759799999946e-06	2.1374063799999982e-06	2.2506579999999983e-06	2.03430314e-06	3.3075018e-06	1.3496437599999946e-06	1.2211683999999987e-06	1.79967306e-06	9.984838799999939e-07	2.087353279999995e-06	1.2148894599999952e-06	2.2550047399999986e-06	1.1226120000000001e-08	2.0329764799999946e-06	1.6299742599999982e-06	9.736133999999939e-07	1.9740694000000004e-07	1.2573254399999987e-06	6.217016e-08	2.081731479999995e-06	5.649089199999995e-07	9.47266659999994e-07	1.7724639000000007e-06	2.2390790599999997e-06	1.4816884399999987e-06	6.03956e-09	1.261178139999999e-06	2.302527639999997e-06	2.2650712199999982e-06	7.713996799999963e-07	3.631674799999991e-07	7.50799939999998e-07	2.067058259999995e-06	1.666065239999996e-06	2.095493919999996e-06	1.4282707999999978e-06	2.250051199999998e-06	1.3480933399999941e-06
1.1.1.405	1.24488e-05	6.774033909333333e-06	6.903197551666673e-06	5.013235791666676e-06	6.839134110999992e-06	8.524608477095246e-06	6.998378286000004e-06	2.07541e-05	5.3084477900000015e-06	6.3275301410000025e-06	6.56111e-06	1.0465517362666685e-05	9.00836e-06	5.62239e-06	5.41925e-06	6.591794488333334e-06	6.856158058333332e-06	8.840472779333339e-06	6.771257406666676e-06	6.687200178333338e-06	1.66587e-05	6.698407242666669e-06	2.99875e-05	1.419343782476192e-05	1.063296131566669e-05	1.43512e-05	3.1894e-05	9.66611e-06	1.14795e-05	8.589546668333331e-06	6.8826256676666615e-06	1.36325e-05	6.614437458333332e-06	3.78437e-05	2.13283e-05	6.7728961709999955e-06	9.230906780000003e-06	1.09334e-05	6.496033628333331e-06	6.736423770999998e-06	6.860199558333333e-06	8.90328122266667e-06	6.90744635600001e-06	1.86185e-05	5.439616791666665e-06	6.0144439366666764e-06	6.453825046666678e-06	8.38014e-06	1.14203e-05	1.0307836460000024e-05	6.927952081666665e-06	6.78831e-06	5.79114e-06	6.6973125860000025e-06	6.420257400000003e-06	6.596013446666672e-06	7.31308e-06	5.58834e-06
2.7.9.3	2.67087e-05	5.86446e-05	1.48874e-05	4.67053e-05	9.53093e-05	5.10656e-05	1.84058e-05	6.11337e-05	3.51488e-05	9.28796e-05	2.85278e-05	5.57346e-05	3.13191e-05	1.68154e-05	5.86031e-06	4.770386140000015e-05	3.32946e-05	1.78565e-05	3.74557e-05	2.98778e-05	5.136883730000017e-05	8.08662e-06	4.48915e-05	1.39498e-05	4.38801e-05	7.20477e-06	4.71691e-05	5.68487e-06	2.88888e-05	1.28201e-05	3.74319e-05	3.31277e-05	6.13931e-05	8.26967e-06	6.03551e-05	6.6927e-05	5.69485e-05	2.23636e-05	6.46622e-05	4.27574e-05	3.34383e-05	2.47941e-05	5.96895e-06	3.32902e-05	7.47627e-05	5.66415e-05	9.98991e-06	7.76239e-06	6.53261e-05	5.36973e-05	3.87238e-05	3.07242e-05	6.94637e-06	7.91338e-05	5.31266e-05	4.9853e-05	2.16693e-05	6.71252e-06
2.3.1.n4	2.5770883384465305e-07	1.5810354915402596e-07	2.4140313070911317e-07	1.24068e-05	2.842793403455643e-07	2.2609324280312053e-07	1.4209077983334446e-07	3.1345197238049625e-07	2.823861242612159e-07	2.401189854274425e-07	1.3343506589990459e-07	1.9114525601800491e-07	1.37748e-06	3.716657683349979e-07	3.5829252817891715e-07	6.892959097479125e-07	2.4662964912837274e-07	2.3310123814446018e-07	2.628261875069714e-07	4.62157e-06	2.818838730054856e-07	4.225178940297867e-07	2.734399912238414e-07	2.912710394934942e-07	2.402239711972024e-07	1.937986172825304e-07	1.3659377147730484e-07	2.63798553597743e-07	4.91854092623455e-07	2.69299349523892e-07	1.392000728105316e-07	2.992754143811846e-07	1.6192684419677958e-07	2.4664454764831057e-07	3.027792599217979e-07	2.299318209343149e-07	1.7309670675690049e-07	1.754169642294301e-07	2.2402605633674225e-07	2.5537633834669694e-07	1.848650438650593e-07	2.580078394159553e-07	2.5346385602249847e-07	4.3990630140058555e-07	1.93384e-06	3.0459507576877657e-07	2.1967040698607203e-07	1.9086299511395308e-07	3.7942768965574505e-07	5.91948972225531e-07	3.0244871401596054e-07	3.016606945649443e-07	2.5920316753701036e-07	2.0829153699521038e-07	2.709304012326247e-07	2.7494952692635116e-07	2.2526829614519068e-07	3.007372788282999e-07
3.4.24.11	2.2986324466666687e-07	2.3751514599999991e-07	2.519148099999999e-07	2.883014800000001e-07	2.465440459999999e-07	1.5311637466666672e-07	3.122214626666666e-07	2.409021519999999e-07	5.235084960000002e-07	8.05248e-06	2.13972028e-07	1.46061756e-07	1.0472691200000002e-07	2.695652540000001e-07	1.1575486940000008e-06	3.3972160200000007e-07	3.860593440000001e-07	1.8031249999999997e-07	2.4518578333333324e-07	9.948775720000014e-07	3.894876900000002e-07	2.8000136999999985e-07	1.4820474599999997e-07	1.6280493399999998e-07	1.8887899999999998e-07	2.369943199999999e-07	2.1269836800000005e-07	1.5733679999999996e-07	2.732156566666667e-07	1.64504314e-07	2.428669699999999e-07	1.91177386e-07	2.397473059999999e-07	1.6877213799999994e-07	3.021882606666667e-07	5.43076e-06	1.5384749933333335e-07	5.394478166666667e-07	3.7762686400000014e-07	4.402939800000001e-07	2.2324356199999988e-07	1.66057328e-07	2.138281193333334e-07	1.567364960000001e-07	3.4218313200000004e-07	3.5846823799999986e-07	2.7644160799999996e-07	2.897200140000001e-07	2.40089076e-07	1.6712580999999998e-07	2.2515546799999993e-07	3.4643352466666664e-07	2.510906239999999e-07	2.8082769599999996e-07	9.90029e-06	3.469418586666666e-07	4.5361572400000017e-07	1.6978893999999998e-07
1.1.1.262	3.098073328333333e-05	6.86884e-06	5.93201e-06	5.15074e-05	4.22408e-05	4.35569e-05	1.74723e-05	2.60007e-05	7.35727e-06	1.757212015666666e-05	3.20531e-05	1.59561e-05	2.55033e-05	6.49665e-05	8.38779e-06	7.01867e-05	1.98893e-05	2.972883887999998e-05	2.46245e-05	2.79438e-05	2.2525541453333306e-05	3.222519727333335e-05	6.66371e-06	2.733847651333335e-05	1.74468e-05	7.50034e-06	1.02626e-05	3.58101e-05	2.2916055793333328e-05	3.286672047333336e-05	1.67021e-05	1.07181e-05	2.41544e-05	1.45999e-05	1.6008e-05	6.52445e-06	3.6245e-05	4.77049e-05	3.82191e-05	7.06163e-06	3.44313e-05	1.02563e-05	3.95268e-06	3.93587e-05	3.3487e-05	6.23102e-05	2.8421e-05	2.57481e-05	9.79408e-06	3.27353e-05	8.9673e-06	1.80216e-05	8.20917e-06	3.62417e-05	2.60595e-05	7.94307e-06	2.868797237000001e-05	6.66421e-06
3.1.1.2	5.66729e-06	1.5390222031999997e-05	1.9621537960000023e-05	2.24505e-05	1.2534394041666642e-05	1.07994e-05	1.1667029596666635e-05	1.25176965153333e-05	1.0020670012666663e-05	8.68289e-06	1.2541700338666653e-05	1.7980350746666636e-05	1.90065e-05	1.0354775298666675e-05	2.1341433643333374e-05	6.20514e-06	1.6401846503333315e-05	2.20996e-05	2.16254e-05	1.6875377340000026e-05	1.950531578666667e-05	1.5585095553333282e-05	2.0473774750000023e-05	6.21646e-06	1.2597682363333301e-05	1.9722739820000026e-05	1.1791804195333291e-05	1.18103e-05	2.71593e-05	2.0628940640000014e-05	1.090214628799998e-05	2.048617235000002e-05	1.2657744309999969e-05	1.74375e-05	1.9048128535333318e-05	2.0567070933333363e-05	7.5912e-06	8.79018e-06	7.39992e-06	2.048617235000002e-05	1.2321546415333307e-05	1.454904385866662e-05	3.81399e-05	1.1690938408333312e-05	1.692126658600003e-05	1.36861e-05	1.72202e-05	1.1262309646666643e-05	2.044536785333336e-05	1.34374e-05	2.2410460836666713e-05	1.2728449359999983e-05	1.6826278963333317e-05	5.89348e-06	1.04815e-05	1.60897e-05	2.0853159810000026e-05	2.0018897483333328e-05
2.1.2.2	7.16404e-05	0.000115421	9.59896e-05	0.000100415	0.000155795	0.000114728	0.00015117	0.000109838	0.000119399	6.94387e-05	8.37157e-05	0.0001198	0.000110869	6.83063e-05	7.78342e-05	1.78633e-05	7.65563e-05	6.07009e-05	0.000134293	0.000121655	5.82824e-05	5.53935e-05	9.44075e-05	0.000124461	6.44603e-05	5.46469e-05	0.000107872	9.41137e-05	8.62933e-05	9.80741e-05	0.000116147	0.000126323	0.000109246	2.4212e-05	8.19661e-05	0.000130047	0.000149156	6.80279e-05	9.11802e-05	0.000127912	7.12367e-05	3.49234e-05	0.000118647	0.000127137	7.93088e-05	0.000122555	9.58735e-05	0.000131625	0.000136783	0.000129779	9.45172e-05	5.89814e-05	7.97615e-05	0.000208507	6.66807e-05	0.000101915	7.47967e-05	5.67973e-05
2.7.1.100	9.479717274761914e-06	9.925549045666662e-06	1.0267952851428592e-05	1.0694955273333299e-05	9.49663e-06	1.2106846491428602e-05	7.459027553999995e-06	9.595404796428565e-06	7.49906045599999e-06	9.259446709761892e-06	8.925269429999982e-06	9.450384251428572e-06	1.4000797833999992e-05	8.2513e-06	1.042369634809526e-05	9.686683628095249e-06	5.67715e-06	9.961873008095253e-06	1.2863956513333358e-05	1.0385280418095257e-05	1.005867784476192e-05	8.835914323333335e-06	1.050395706809526e-05	9.342245320761904e-06	9.671989133333343e-06	8.92762e-06	9.48958e-06	1.1047511341428587e-05	1.13852e-05	9.676211798095247e-06	6.16088e-06	7.996393392761903e-06	7.001013843999986e-06	1.0496367288095256e-05	5.30472e-06	9.274035512666656e-06	8.44345e-06	1.1410422052000008e-05	9.53770051333334e-06	1.2766720116666694e-05	1.1024431414761923e-05	4.46048e-06	1.2786590374761943e-05	6.88249e-06	7.93868e-06	1.1236615166666686e-05	6.853803578095226e-06	1.0241812738095261e-05	7.702038608095233e-06	1.050219284976192e-05	1.01398e-05	5.03105e-06	6.80554e-06	6.246601192333316e-06	1.0424118018095251e-05	1.75532e-05	9.663949883095241e-06	8.01150346999998e-06
