	SRR6915103_500K_merged_Abundance.RPKs	SRR6915104_500K_merged_Abundance.RPKs	SRR6915105_500K_merged_Abundance.RPKs	SRR6915106_500K_merged_Abundance.RPKs	SRR6915107_500K_merged_Abundance.RPKs	SRR6915108_500K_merged_Abundance.RPKs	SRR6915109_500K_merged_Abundance.RPKs	SRR6915110_500K_merged_Abundance.RPKs	SRR6915111_500K_merged_Abundance.RPKs	SRR6915112_500K_merged_Abundance.RPKs	SRR6915114_500K_merged_Abundance.RPKs	SRR6915117_500K_merged_Abundance.RPKs	SRR6915125_500K_merged_Abundance.RPKs	SRR6915126_500K_merged_Abundance.RPKs	SRR6915127_500K_merged_Abundance.RPKs	SRR6915128_500K_merged_Abundance.RPKs	SRR6915129_500K_merged_Abundance.RPKs	SRR6915130_500K_merged_Abundance.RPKs	SRR6915131_500K_merged_Abundance.RPKs	SRR6915132_500K_merged_Abundance.RPKs	SRR6915133_500K_merged_Abundance.RPKs	SRR6915134_500K_merged_Abundance.RPKs	SRR6915135_500K_merged_Abundance.RPKs	SRR6915136_500K_merged_Abundance.RPKs	SRR6915147_500K_merged_Abundance.RPKs	SRR6915149_500K_merged_Abundance.RPKs	SRR6915150_500K_merged_Abundance.RPKs	SRR6915151_500K_merged_Abundance.RPKs	SRR6915152_500K_merged_Abundance.RPKs	SRR6915153_500K_merged_Abundance.RPKs	SRR6915155_500K_merged_Abundance.RPKs	SRR6915156_500K_merged_Abundance.RPKs	SRR6915167_500K_merged_Abundance.RPKs	SRR6915168_500K_merged_Abundance.RPKs	SRR6915169_500K_merged_Abundance.RPKs	SRR6915170_500K_merged_Abundance.RPKs	SRR6915171_500K_merged_Abundance.RPKs	SRR6915172_500K_merged_Abundance.RPKs	SRR6915173_500K_merged_Abundance.RPKs	SRR6915174_500K_merged_Abundance.RPKs	SRR6915175_500K_merged_Abundance.RPKs	SRR6915176_500K_merged_Abundance.RPKs	SRR6915177_500K_merged_Abundance.RPKs	SRR6915178_500K_merged_Abundance.RPKs	SRR6915179_500K_merged_Abundance.RPKs	SRR6915180_500K_merged_Abundance.RPKs	SRR6915181_500K_merged_Abundance.RPKs	SRR6915182_500K_merged_Abundance.RPKs	SRR6915183_500K_merged_Abundance.RPKs	SRR6915184_500K_merged_Abundance.RPKs	SRR6915185_500K_merged_Abundance.RPKs	SRR6915186_500K_merged_Abundance.RPKs	SRR6915195_500K_merged_Abundance.RPKs	SRR6915196_500K_merged_Abundance.RPKs	SRR6915197_500K_merged_Abundance.RPKs	SRR6915198_500K_merged_Abundance.RPKs	SRR6915199_500K_merged_Abundance.RPKs	SRR6915200_500K_merged_Abundance.RPKs
2.1.2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.1.1.15	1.77414e-05	2.78113e-05	1.4555852659523884e-05	4.35612e-05	3.14125e-05	1.03865e-05	6.53469e-05	6.38652e-05	0.000102536	1.13459e-05	4.17945e-05	9.45249e-06	5.09675e-05	4.19879e-05	2.44215e-05	1.9890102918333372e-05	8.16911e-06	1.410647135023814e-05	3.57328e-05	2.68371e-05	2.81443e-05	1.889600700666671e-05	1.26605e-05	1.4822772713333408e-05	1.844270821333338e-05	2.19019e-05	4.95427e-05	2.18995e-05	1.3690308405714357e-05	2.37174e-05	3.73077e-05	2.1185051683333372e-05	6.02227e-05	3.97916e-05	4.15547e-05	1.73299e-05	4.18548e-05	5.73517e-05	1.90806e-05	3.45174e-05	1.51309e-05	1.7483879770000078e-05	5.60607e-06	2.59639e-05	2.03003e-05	7.81934e-05	2.585271762333339e-05	2.43848e-05	8.06195e-06	3.81105e-06	1.08994e-05	5.81788e-06	1.04084e-05	2.00453e-05	5.92579e-06	2.9366e-05	9.43454e-06	1.50861e-05
3.4.19.1	5.827128355192796e-08	4.259676896301519e-08	6.649834006773098e-08	5.809325468795815e-08	3.903193948501451e-08	3.9237645543058915e-08	3.4646544925375103e-08	4.802697762299636e-08	3.8209285577642665e-08	3.251724805585478e-08	2.551688959794251e-08	3.826949239887234e-08	6.002705527473042e-08	6.147231122818604e-08	6.147943140807712e-08	5.597712431276013e-08	5.4805594708354355e-08	5.132548235251099e-08	2.4867791475162472e-08	7.839169454916335e-08	4.415231538708866e-08	6.999202520744648e-08	5.703827601446205e-08	7.324830451186749e-08	3.9829305674875804e-08	5.37724036564574e-08	2.991844267331635e-08	5.623553289198263e-08	5.216601698966794e-08	5.359482060849132e-08	2.7394687845975775e-08	5.413404599312409e-08	4.186742577853863e-08	6.11054674410728e-08	6.043740632880207e-08	2.78965863496544e-08	2.5465919887041316e-08	2.276548912663249e-08	2.389807588557659e-08	8.036669304881241e-08	4.599633875720458e-08	5.704227671269773e-08	5.165018695233396e-08	3.8272648262026984e-08	5.5962832410672095e-08	6.255339282123122e-08	5.994928803090646e-08	6.337624947523489e-08	7.686810215159892e-08	3.8003300232605705e-08	4.0371692217888625e-08	4.124011044322913e-08	7.099705419713102e-08	4.250406015923612e-08	4.868504236890531e-08	4.065165161274918e-08	4.367940329001009e-08	7.286824825353108e-08
5.3.3.3	2.4166138681095233e-06	1.6473069176119073e-06	3.827653728233331e-06	1.5786019294476185e-06	1.7707066592523855e-06	2.5742162720952395e-06	2.79819561024762e-06	2.9686913812333343e-06	1.7062311565619062e-06	1.9444051957500026e-06	1.82256999287143e-06	1.5937175693333375e-06	2.489374790106353e-06	1.796246423009527e-06	3.230538752980949e-06	2.4465402430476183e-06	3.2814585852119033e-06	2.4198284872507935e-06	2.1507123805214297e-06	3.1053996970611088e-06	3.271109549028569e-06	2.3230712390619056e-06	3.2675859706000013e-06	1.858946164450797e-06	1.6007371380904799e-06	3.4964002342952358e-06	2.6380094775571443e-06	3.994016125442854e-06	2.3073963522285727e-06	3.026672744195237e-06	1.227372786572223e-06	3.910535093566662e-06	1.4018952075809566e-06	4.093360013766667e-06	3.5993814536333297e-06	4.240349789547613e-06	1.5879239128619073e-06	1.983225191722226e-06	2.2195554304134946e-06	3.2446342922547643e-06	2.891746702928571e-06	2.0788547487349225e-06	2.581803933828572e-06	1.8728050867690512e-06	2.353902187894448e-06	7.24785502927778e-07	2.31451e-05	2.560014787142857e-06	2.1373737160134954e-06	2.360252893144449e-06	2.5347101333833352e-06	3.861847426619473e-06	3.594319159828568e-06	2.5530331009666697e-06	4.794719631399997e-06	1.6739630598063535e-06	3.3997109779285672e-06	2.215361799404764e-06
4.2.2.22	3.465592638666662e-06	2.8424441444904767e-06	2.5801285367238073e-06	3.243390321499995e-06	2.7546016504666645e-06	4.47996234079999e-06	2.620361409857144e-06	4.260457024799989e-06	3.820539901599998e-06	2.0791972284238134e-06	4.714904500999988e-06	4.074320194799992e-06	3.2587981694999994e-06	2.01289e-05	2.6955314183238102e-06	4.702784033799988e-06	4.831101314999991e-06	3.546650034623804e-06	4.5977003511333214e-06	5.007183176799993e-06	3.405714914523808e-06	3.037808682799996e-06	4.038926203799993e-06	4.670210283799987e-06	4.6017539174999885e-06	9.41024e-06	1.5525659384571442e-06	1.33262e-05	5.72630354499999e-06	1.30423e-05	3.99312974879999e-06	4.033139598799992e-06	5.097820202999993e-06	4.18816607579999e-06	2.850254920457141e-06	2.803726788099997e-06	2.8792321546333306e-06	2.657284904357143e-06	2.8108849572999983e-06	3.747898352599994e-06	5.1208218509999914e-06	4.577876116799981e-06	1.28268e-05	1.2934e-05	2.513224459823809e-06	3.91357e-05	4.816382956799989e-06	4.397412393999989e-06	4.762636917999988e-06	4.9742907939999935e-06	4.369679951799989e-06	2.975960011299998e-06	5.005875038999989e-06	2.302905428766668e-06	4.386382189799988e-06	3.255883203766668e-06	4.395000911799988e-06	3.815100413799992e-06
3.8.1.3	4.9091784186142876e-06	9.089466170271422e-06	1.1454786086699993e-05	1.06622e-05	4.17308e-05	2.20705e-05	5.927179647257142e-06	7.698862605200004e-06	4.29795902778572e-06	9.37871e-06	5.119407140028575e-06	1.11446e-05	6.98517900100001e-06	6.11826e-06	7.1902826181142875e-06	5.086410457700007e-06	6.446425102614294e-06	8.563922726399993e-06	7.6098799953571465e-06	1.52561e-05	5.286341539714286e-06	5.214334323814289e-06	6.84777e-06	1.0992183992999995e-05	1.93137e-05	8.176269144000002e-06	2.96737e-05	5.80274291587143e-06	9.85846e-06	8.355068209699999e-06	9.79921e-06	9.82993e-06	7.633323102499999e-06	6.127670599671432e-06	7.863965688e-06	2.1409e-05	8.6011965805e-06	4.609605046885716e-06	2.91743e-05	5.724938348014287e-06	6.004264383414289e-06	7.321089214299999e-06	1.137555872249999e-05	6.0132076373714315e-06	6.232608333200003e-06	4.6132600666571435e-06	6.647927585414288e-06	3.7977334132809533e-06	2.10573e-05	7.171594301214287e-06	1.68547e-05	5.508943006400005e-06	6.8951574182e-06	3.1501e-05	1.05678e-05	5.446216232614289e-06	5.865983684414288e-06	5.426659537771434e-06
2.5.1.97	8.396276674219048e-06	6.321255899266679e-06	1.2471993681599953e-05	1.0629189311499981e-05	8.941871667800012e-06	5.4692969908666746e-06	1.3211656371333295e-05	8.369239662466682e-06	9.38155e-06	8.79919094146668e-06	9.376603680933338e-06	8.686695791400022e-06	8.746344495619047e-06	3.00978e-05	1.0637468084599976e-05	9.60943325419999e-06	6.92996e-06	9.97577570121904e-06	1.74122e-05	1.2474237093980907e-05	9.417011964600004e-06	1.1018812717866633e-05	7.577811157533349e-06	5.8735897888190595e-06	5.20581e-06	7.30989e-06	9.933409214133326e-06	8.65081587320002e-06	6.54012197193335e-06	8.520558105800015e-06	1.09316e-05	7.7188792317524e-06	7.01964e-06	1.4611072159999955e-05	7.073048953800013e-06	8.954310842352398e-06	9.484794105152391e-06	2.96011e-05	6.79337e-06	1.1768258137847582e-05	6.804532364085727e-06	6.273643645533347e-06	8.053164994600026e-06	6.2564925909809545e-06	6.81248982426668e-06	9.483073725200008e-06	1.2273480621599962e-05	2.12808e-05	9.369176426800003e-06	1.3212882861999954e-05	8.154421394133351e-06	1.93106e-05	8.97309902780001e-06	7.78259239141906e-06	1.0062514653085701e-05	1.1002549110933336e-05	8.364459111000016e-06	1.0344942920533318e-05
1.8.1.16	4.673019999999999e-08	5.097839999999999e-08	4.673019999999999e-08	4.673019999999999e-08	4.673019999999999e-08	4.673019999999999e-08	0.0	4.413383599999999e-08	2.1746219999999995e-09	5.097839999999999e-08	9.487501600000013e-08	0.0	1.1045320000000004e-07	2.5489200000000002e-08	2.5489200000000002e-08	4.673019999999999e-08	0.0	4.673019999999999e-08	4.673019999999999e-08	4.673019999999999e-08	3.39856e-08	4.673019999999999e-08	5.097839999999999e-08	4.673019999999999e-08	4.673019999999999e-08	4.673019999999999e-08	2.5489200000000002e-08	4.673019999999999e-08	1.1045320000000004e-07	4.673019999999999e-08	2.9737400000000005e-08	0.0	2.1241e-08	4.673019999999999e-08	4.673019999999999e-08	4.2482e-09	4.673019999999999e-08	2.5489200000000002e-08	4.673019999999999e-08	0.0	4.673019999999999e-08	4.673019999999999e-08	4.673019999999999e-08	4.673019999999999e-08	4.2482e-09	5.035456999999999e-08	4.673019999999999e-08	4.673019999999999e-08	2.9737400000000005e-08	4.673019999999999e-08	2.9737400000000005e-08	2.5489200000000002e-08	2.9737400000000005e-08	0.0	2.9737400000000005e-08	0.0	0.0	4.673019999999999e-08
3.7.1.14	6.626409574403645e-07	5.267217755774812e-07	2.1133023824037384e-06	1.5052135747004773e-06	4.799097597295609e-07	4.891361938843264e-07	7.526021030636209e-07	4.943852522299738e-07	1.6613145727029728e-07	4.99852422837429e-07	1.3786302412064444e-07	5.108187023759425e-07	7.254841105156839e-07	6.383651581099054e-07	5.173577698149675e-07	3.38825730852506e-07	3.0042610538178025e-07	6.010522138757698e-07	4.945594598325043e-07	5.68598031462007e-07	5.281489586607681e-07	5.477755252019186e-07	5.199600424258894e-07	2.23240627447591e-07	7.310899925135227e-07	5.119661030843397e-07	4.945840410156535e-07	5.600294558916921e-07	2.722731606055809e-07	5.475181711299714e-07	4.951471834237475e-07	2.8224407039715677e-07	2.059871656416625e-07	5.082411760098611e-07	5.012490742851749e-07	4.822586539607151e-07	4.249637369875205e-07	1.5829435716672925e-07	5.330662998802121e-07	2.3000250560352509e-07	5.163716029329085e-07	5.413537528251717e-07	5.201640547545807e-07	4.838596626006656e-07	3.84076e-06	5.087524858141628e-07	5.006259690848852e-07	5.12109289541428e-07	5.841567802728058e-07	3.313874543095404e-07	5.167791922523073e-07	5.694078776852791e-07	5.182028066989799e-07	5.229105993891645e-07	5.548335157637208e-07	7.219814123247902e-07	2.2068740842031699e-07	5.354102042374596e-07
3.1.27.6	3.3670067191507855e-06	3.269850685911905e-06	3.2541661028055505e-06	5.92919e-05	3.08652954660476e-06	3.142192880593649e-06	3.441425669611897e-06	3.2117630817293607e-06	4.6896430170023815e-06	3.5440746317738015e-06	3.3045313344746004e-06	3.5666082549365046e-06	1.43811e-05	3.758193276771425e-06	4.411375177552381e-06	5.534743528303174e-06	2.9031340871507923e-07	3.3033571294912666e-06	3.499754693969834e-06	3.461302091117452e-06	3.488669182619039e-06	3.9742510236936405e-06	3.239101148500789e-06	3.6148451276293616e-06	3.906920185593639e-06	3.2874021878365023e-06	3.255587847505549e-06	3.300399154157933e-06	3.0031072534174607e-06	3.1969385934246e-06	9.749217367666657e-07	3.1768959002626967e-06	3.609402838890475e-06	3.2762795138912663e-06	3.217034728422218e-06	3.3798245015666655e-06	8.658560404984115e-07	3.638158753333319e-06	3.225763596624597e-06	3.0428581675523808e-06	3.300369050991266e-06	3.299284369779362e-06	3.177893551891268e-06	3.0967863120523806e-06	1.24818e-05	3.3166214189126968e-06	3.216406079846029e-06	3.2583478937793603e-06	3.0959913777499977e-06	6.091329650733303e-06	3.0727687377523817e-06	9.981042289428545e-07	3.2205014017674566e-06	5.019463993976188e-07	3.7821689970269755e-06	3.803785263776185e-06	3.2462291344103125e-06	3.2766013643245995e-06
1.4.3.1	4.810460803867543e-09	2.0664828700248136e-09	4.810460803867543e-09	6.929272726390953e-09	4.8094189531730415e-09	4.810460803867543e-09	4.810460803867543e-09	4.810460803867543e-09	2.0664828700248136e-09	4.810460803867543e-09	4.810460803867543e-09	4.810460803867543e-09	6.929272726390953e-09	1.0214828878116797e-08	4.890182883867541e-09	4.810460803867543e-09	5.361290353965007e-09	4.810460803867543e-09	1.371388884668856e-08	4.810460803867543e-09	4.810460803867543e-09	2.0664828700248136e-09	4.810460803867543e-09	2.0664828700248136e-09	4.810460803867543e-09	4.810460803867543e-09	4.629082034089574e-09	4.890182883867541e-09	4.810460803867543e-09	4.810460803867543e-09	4.810460803867543e-09	4.810460803867543e-09	2.0664828700248136e-09	4.810460803867543e-09	4.810460803867543e-09	4.810460803867543e-09	4.810460803867543e-09	8.522681378580976e-09	4.810460803867543e-09	6.99849e-06	4.89742176386754e-09	4.810460803867543e-09	4.810460803867543e-09	1.885104100246844e-09	4.810460803867543e-09	4.810460803867543e-09	4.810460803867543e-09	4.810460803867543e-09	2.0664828700248136e-09	4.629082034089574e-09	4.629082034089574e-09	4.810460803867543e-09	4.810460803867543e-09	4.89742176386754e-09	4.810460803867543e-09	2.0664828700248136e-09	4.810460803867543e-09	4.810460803867543e-09
3.5.1.16	9.710320240000022e-06	2.055862386000003e-05	1.636040460000001e-05	0.000148435	6.50317e-06	1.0095645020000027e-05	1.82807e-05	1.8879212960000017e-05	2.74896e-05	4.61892e-06	2.30584e-05	1.1744744919999994e-05	4.64969e-05	4.36337e-05	1.0882286040000032e-05	1.151288752000003e-05	5.23421e-06	3.00759e-05	1.72199e-05	5.27523e-06	1.0574419620000027e-05	1.1318153960000033e-05	9.12880370000002e-06	9.807455100000028e-06	6.38263e-06	9.79286666000002e-06	3.02299e-05	1.42092e-05	1.508145336e-05	1.0480266920000025e-05	2.05667e-05	1.0140073920000027e-05	1.65415e-05	9.98064e-06	1.4475588800000004e-05	1.0734683860000032e-05	1.12479e-05	2.78631e-05	1.03717e-05	1.24304e-05	2.07117e-05	9.40830266000003e-06	1.0599129380000026e-05	2.00056e-05	3.29127e-06	2.44449e-05	9.451833020000027e-06	1.76117e-05	1.9010329080000025e-05	9.07836e-06	9.65137e-06	1.1112245340000026e-05	7.168098840000018e-06	6.87296e-06	8.48224e-06	2.08411e-05	9.50767602000002e-06	9.452788840000028e-06
2.3.1.n3	9.71556e-05	6.50708e-05	5.97767e-05	3.86356e-05	0.000165351	8.45401e-05	8.85621e-05	5.20301e-05	5.10322e-05	7.2829e-05	7.3119e-05	5.8628e-05	4.55196e-05	3.11538e-05	0.000116703	3.68535e-05	7.10579e-05	7.02693e-05	8.03199e-05	8.0339e-05	0.000103143	4.22882e-05	7.20528e-05	8.75919e-05	0.000115923	5.40335e-05	8.62945e-05	3.40535e-05	7.57391e-05	5.07647e-05	7.52502e-05	0.000110164	7.52003e-05	7.53961e-05	8.06429e-05	6.06621e-05	4.71046e-05	3.60759e-05	7.64611e-05	6.90776e-05	5.79877e-05	3.62888e-05	7.54857e-05	3.54657e-05	8.17805e-05	3.31026e-05	6.21294e-05	6.55643e-05	0.000116061	4.26766e-05	5.81379e-05	3.29671e-05	7.88946e-05	0.000133271	5.63968e-05	0.000130638	5.22531e-05	4.59421e-05
