	SRR6915091_500K_merged_Abundance.RPKs	SRR6915092_500K_merged_Abundance.RPKs	SRR6915093_500K_merged_Abundance.RPKs	SRR6915094_500K_merged_Abundance.RPKs	SRR6915095_500K_merged_Abundance.RPKs	SRR6915096_500K_merged_Abundance.RPKs	SRR6915097_500K_merged_Abundance.RPKs	SRR6915098_500K_merged_Abundance.RPKs	SRR6915099_500K_merged_Abundance.RPKs	SRR6915100_500K_merged_Abundance.RPKs	SRR6915101_500K_merged_Abundance.RPKs	SRR6915102_500K_merged_Abundance.RPKs	SRR6915113_500K_merged_Abundance.RPKs	SRR6915115_500K_merged_Abundance.RPKs	SRR6915116_500K_merged_Abundance.RPKs	SRR6915118_500K_merged_Abundance.RPKs	SRR6915119_500K_merged_Abundance.RPKs	SRR6915120_500K_merged_Abundance.RPKs	SRR6915121_500K_merged_Abundance.RPKs	SRR6915122_500K_merged_Abundance.RPKs	SRR6915123_500K_merged_Abundance.RPKs	SRR6915124_500K_merged_Abundance.RPKs	SRR6915137_500K_merged_Abundance.RPKs	SRR6915138_500K_merged_Abundance.RPKs	SRR6915139_500K_merged_Abundance.RPKs	SRR6915140_500K_merged_Abundance.RPKs	SRR6915141_500K_merged_Abundance.RPKs	SRR6915142_500K_merged_Abundance.RPKs	SRR6915143_500K_merged_Abundance.RPKs	SRR6915144_500K_merged_Abundance.RPKs	SRR6915145_500K_merged_Abundance.RPKs	SRR6915146_500K_merged_Abundance.RPKs	SRR6915157_500K_merged_Abundance.RPKs	SRR6915158_500K_merged_Abundance.RPKs	SRR6915159_500K_merged_Abundance.RPKs	SRR6915160_500K_merged_Abundance.RPKs	SRR6915161_500K_merged_Abundance.RPKs	SRR6915162_500K_merged_Abundance.RPKs	SRR6915163_500K_merged_Abundance.RPKs	SRR6915164_500K_merged_Abundance.RPKs	SRR6915165_500K_merged_Abundance.RPKs	SRR6915166_500K_merged_Abundance.RPKs	SRR6915188_500K_merged_Abundance.RPKs	SRR6915189_500K_merged_Abundance.RPKs	SRR6915190_500K_merged_Abundance.RPKs	SRR6915191_500K_merged_Abundance.RPKs	SRR6915192_500K_merged_Abundance.RPKs	SRR6915193_500K_merged_Abundance.RPKs	SRR6915194_500K_merged_Abundance.RPKs	SRR6915201_500K_merged_Abundance.RPKs	SRR6915202_500K_merged_Abundance.RPKs	SRR6915203_500K_merged_Abundance.RPKs	SRR6915204_500K_merged_Abundance.RPKs	SRR6915205_500K_merged_Abundance.RPKs	SRR6915206_500K_merged_Abundance.RPKs	SRR6915207_500K_merged_Abundance.RPKs	SRR6915208_500K_merged_Abundance.RPKs	SRR6915209_500K_merged_Abundance.RPKs	SRR6915210_500K_merged_Abundance.RPKs	SRR6915211_500K_merged_Abundance.RPKs	SRR6915212_500K_merged_Abundance.RPKs	SRR6915213_500K_merged_Abundance.RPKs	SRR6915214_500K_merged_Abundance.RPKs	SRR6915215_500K_merged_Abundance.RPKs	SRR6915216_500K_merged_Abundance.RPKs	SRR6915217_500K_merged_Abundance.RPKs	SRR6915218_500K_merged_Abundance.RPKs	SRR6915219_500K_merged_Abundance.RPKs	SRR6915220_500K_merged_Abundance.RPKs	SRR6915221_500K_merged_Abundance.RPKs	SRR6915222_500K_merged_Abundance.RPKs	SRR6915223_500K_merged_Abundance.RPKs	SRR6915224_500K_merged_Abundance.RPKs	SRR6915225_500K_merged_Abundance.RPKs	SRR6915226_500K_merged_Abundance.RPKs	SRR6915227_500K_merged_Abundance.RPKs	SRR6915228_500K_merged_Abundance.RPKs	SRR6915229_500K_merged_Abundance.RPKs	SRR6915230_500K_merged_Abundance.RPKs
6.1.1.15	0.000156551	0.000130926	0.000160173	0.000127805	0.000134245	0.000148111	0.000153364	0.00013689	0.000120102	9.27414e-05	0.000117487	0.000138068	7.15906e-05	0.000180667	0.000141353	9.95178e-05	0.000134945	0.000150558	0.000151397	0.000121869	0.0001509	0.000134139	0.000161653	0.000171942	0.000128072	0.000204716	0.000119116	0.00010404	0.000159061	0.000165789	9.84459e-05	0.000107397	8.43021e-05	6.91507e-05	6.79556e-05	8.93207e-05	0.000453162	0.000129974	9.48666e-05	0.000174562	0.00014597	0.000182258	0.000144598	0.000140664	0.000142575	8.48738e-05	0.000133525	0.000153881	8.49843e-05	0.000203309	0.000108553	7.81413e-05	0.000109913	0.000127748	9.90524e-05	0.0001715	0.000168081	0.000116491	0.00015756	0.000136352	0.000131775	0.000143163	0.000115295	0.000196145	0.000152273	0.000239565	9.09416e-05	0.000183509	0.000132708	0.000186302	0.000121502	8.24222e-05	0.000158034	0.000130185	7.47722e-05	0.000119006	0.000154	0.000166359	0.000232628
1.8.99.5	1.205655615562539e-07	5.915804858773527e-07	4.6947391347295693e-07	3.765583500302324e-07	1.9883368480086585e-07	1.512171842385482e-07	4.116546724643414e-07	6.120405913658688e-07	1.3105991722331425e-07	1.0113144578234285e-06	6.999756299083675e-07	2.2021893372996176e-07	4.332412491125445e-07	5.423816563893735e-07	3.876487896270847e-07	2.853895350063551e-07	4.052125930582039e-07	4.790988542504034e-07	4.52311572304204e-07	6.819070293502909e-07	6.165013584850373e-07	3.7967597514840444e-07	1.57166269160456e-07	4.1315297021012033e-07	3.485552489827867e-07	4.288940872714089e-07	9.646209180895186e-08	4.771129103444238e-07	4.582111886629135e-07	4.3159708722708445e-07	1.1625232129193893e-07	2.1263434727696552e-07	1.4243476097959558e-07	8.421990563644499e-07	3.5627398387360474e-07	2.095783012579343e-07	4.3405715298663605e-07	4.045204614651798e-07	2.889150788747171e-07	8.7916880707327e-07	2.8600612758777203e-07	6.555624739871801e-07	9.453905748443856e-08	6.819095411036873e-07	3.7320907240466577e-07	2.50648512091939e-07	3.9570695467295693e-07	3.772689230961051e-07	3.927560685720423e-07	7.028673608579511e-07	5.645894110015808e-07	1.8977904362614324e-07	3.8661992747301555e-07	7.271915652330524e-07	8.024807900426212e-07	8.464698740902109e-07	5.367204789083621e-07	9.268735472658108e-08	7.590062144701461e-07	6.742842903916117e-07	4.727540639059865e-07	3.2249740079083795e-07	3.6420731903538175e-07	2.617941458590362e-07	6.414233481469639e-07	4.559185602270846e-07	2.6505869922613998e-06	1.0182046668553795e-07	2.215466429267529e-07	2.1482479777491452e-07	9.89050323518922e-07	8.322604721609899e-07	3.7724566402360073e-07	2.2365433427964946e-08	4.783717026914476e-07	4.700204576983706e-07	2.966672583671827e-07	3.896877954254556e-07	1.6718400100274124e-07
4.2.1.51	6.52635e-05	1.2276898160000004e-05	1.2223332140000007e-05	5.93614e-05	8.95579e-05	0.000125436	2.87454e-05	0.000165207	6.68949e-06	3.91049e-05	1.85162e-05	3.30425e-05	1.57384e-05	8.32275e-05	1.3873364106666676e-05	8.368779923333305e-06	1.5345244263333338e-05	4.06588e-05	1.01706e-05	2.57277e-05	1.97617e-05	1.05969e-05	1.69775e-05	3.52293e-05	1.3107730330000017e-05	3.99611e-05	7.6931e-05	2.73853e-05	5.09258e-05	1.03514e-05	1.5436040860000007e-05	7.85939e-05	6.94775e-05	2.46855e-05	1.63981e-05	4.12475e-05	7.600944693333303e-06	9.36768e-06	7.64977e-05	1.07791e-05	8.386668983333298e-06	2.0072916946666698e-05	3.59179e-05	2.55946e-05	8.92786e-06	1.83282e-05	1.14958e-05	1.03704e-05	1.9805e-05	2.88346e-05	3.70894e-05	6.64131e-05	3.22403e-05	3.3817e-05	2.49294e-05	2.75023e-05	0.000129553	4.56196e-05	2.3872e-05	2.38324e-05	5.37483e-06	6.19709e-05	4.82001e-05	1.9147490871904777e-05	7.36844e-06	2.1023154933333377e-05	2.96732e-05	0.000128523	1.4276351463333352e-05	0.000102085	4.46024e-05	6.70268e-06	1.82682e-05	6.09709e-05	1.75625e-05	1.4485e-05	9.774350353333323e-06	4.64793e-05	8.38096e-06
4.2.1.17	8.45303e-05	2.3388570419999945e-05	4.29337e-06	9.20204e-05	0.000193029	0.000394685	4.61016e-05	0.000474455	3.0767e-05	2.08303e-05	6.29027e-05	5.67491e-05	5.18329e-06	5.9998e-05	2.4711180019999963e-05	2.200815723333323e-05	9.43361e-06	2.22665e-05	1.532100629999996e-05	6.82358e-06	4.05583e-05	3.56946e-05	3.41869e-05	1.57615e-05	1.97313e-05	2.64247e-05	9.68031e-05	3.39861e-05	1.89502e-05	2.061075919333329e-05	2.3809128399999968e-05	2.41469e-05	6.9559e-05	2.65803e-05	4.78625e-06	4.52174e-05	2.283609617999988e-05	2.152851110999994e-05	1.52887e-05	2.18763e-05	1.6971589719999952e-05	2.75318e-05	9.02333e-06	3.22844e-05	3.88629e-05	4.52739e-06	2.98152e-05	3.58736e-05	0.000129293	9.23205e-05	3.48184e-05	3.9298e-05	2.33524e-05	1.97254e-05	3.0110078693333277e-05	2.54583e-05	2.23971e-05	4.14881e-05	1.96004e-05	1.93630341133333e-05	3.12677e-05	1.75858e-05	2.69936e-05	2.96518e-06	2.1377e-05	2.0153405639999958e-05	2.152226090666662e-05	0.000234879	1.45505e-05	3.70486e-05	4.71331e-05	3.62237e-06	2.70552e-05	0.000129259	0.000136226	2.33588e-05	1.954981365999993e-05	2.1436436659999984e-05	6.27136e-06
2.7.1.165	6.757673019868975e-06	1.7803309416036982e-06	4.2797694676565943e-07	1.46173e-05	4.05563e-05	2.50761e-06	1.2301070376731575e-06	7.040417410279697e-06	2.5124391652426618e-06	1.226986678424538e-06	1.2470712549878263e-06	2.76613e-06	1.9803908502569387e-06	1.9349267700090326e-06	2.6260050695205695e-06	2.6498194681233482e-06	1.5189902346554243e-06	2.504555864445514e-06	1.2718059506052023e-06	1.3419727469448736e-06	2.7814887747001643e-06	3.854336392824333e-06	1.26601e-05	3.163220019918628e-06	1.2893639423579205e-06	1.5678666626555485e-06	1.75405e-05	2.2526706455751334e-06	1.361089483383547e-06	1.2808141145328157e-06	1.76624e-06	1.62725e-06	1.87949e-06	2.8105859460255337e-06	1.6103063149387278e-06	1.74979e-05	2.882943051075601e-06	1.2626774919271383e-06	1.5525534375970792e-06	1.4128286501546752e-06	2.9038805848388537e-06	1.5989266451220787e-06	1.3028285609768296e-06	4.5558162188820977e-07	1.6175068958695552e-07	2.6611523187512726e-06	2.3611944832334962e-07	1.3204589030288857e-06	1.8873675225204347e-06	3.37425e-06	1.5617643880823981e-06	2.3670995377636346e-06	4.546989324880895e-06	1.399802011400152e-07	1.293871295870291e-06	2.6215615625596407e-06	1.9728238870189557e-06	9.371861819249975e-07	1.231677253813166e-06	1.958175886610493e-07	1.2528105870889913e-06	6.419524989345638e-06	1.2458756225447196e-06	2.649129754984718e-06	2.5910864281651405e-06	1.2590969273235656e-06	1.2483616760916565e-06	1.72375e-05	1.2077896960217548e-06	8.67909e-06	1.5396185874028915e-06	1.2266703785965265e-06	2.8600480593134866e-06	1.77694e-06	1.9101935443933793e-06	1.3678643052098144e-06	2.661292668043201e-06	2.7908808282564343e-07	1.6503215302681027e-06
1.1.1.179	8.490515591771795e-08	1.6625737790311082e-06	1.8070405742090269e-07	8.630833420215541e-08	1.5465687377276813e-06	3.616536400054539e-06	9.141433848620015e-07	3.017767091448033e-07	1.4875213868251899e-06	7.607328022723116e-07	6.764666159607012e-07	6.365198551623744e-08	1.2537287523210982e-06	7.196478467725145e-07	1.6838411924006985e-06	1.536304802365834e-06	9.02240639944885e-07	6.610711066417159e-07	1.3293003077978886e-06	3.2311521442003463e-06	6.108835277125578e-07	1.1185795112561687e-06	3.7658180032684473e-07	7.436456329521469e-07	2.1966652918640915e-07	5.26766e-06	3.3302755682034875e-07	5.908397081612111e-07	5.427259368580311e-07	4.399777457749064e-07	8.739169739262097e-07	9.495671737303412e-08	4.6372468707804246e-08	6.943255496113409e-07	6.1720375749116e-07	1.9082468068234792e-07	1.5005512341118488e-06	1.1886962582367782e-06	9.062625775976097e-07	5.409242431801859e-07	1.3512750985002028e-06	7.392431256730169e-07	4.6735100821722114e-07	8.664344939922052e-07	3.8613133079247326e-07	1.6416135172252135e-06	9.953668925842922e-07	3.103993765295501e-07	4.308608362576949e-07	4.496136585234645e-07	6.32556758907212e-07	1.1146975016299069e-06	1.080776101802359e-06	3.2062607664634e-07	2.21425e-05	5.3522079634774e-07	1.10139084419542e-06	1.1330821297100418e-06	7.552793854687355e-07	1.4592930982618923e-06	1.2643967008667407e-06	5.330320872481282e-07	6.836460830977149e-07	1.2141264821743891e-06	6.259979410601094e-07	6.292262904143913e-07	1.1305796042352983e-06	2.0240041258556126e-06	3.249436004170997e-07	1.29335e-05	1.8715478557978278e-06	5.292024807109195e-07	5.736793338052159e-07	4.125750950935343e-08	3.663883039710866e-07	8.155980126683849e-07	1.6650386003540913e-06	1.3305712918941567e-06	2.7732914634408546e-06
5.3.1.32	2.2516e-05	6.374145905295167e-06	2.0689867495814666e-06	2.88337e-06	7.12487e-05	0.000108192	2.064654460687301e-06	0.00011424	1.244740792023827e-06	3.706489344842611e-06	6.162761089700725e-07	1.749254624320442e-06	1.3029798083563799e-06	7.319827324447108e-06	4.145166408431462e-06	8.011245543964432e-06	5.86708386700256e-06	4.812422371600366e-06	1.8825018674196818e-06	3.5430738513123626e-06	4.31612761684302e-06	6.883134915005946e-06	7.655544808790533e-06	2.911837836630674e-06	6.002460133248759e-07	3.4131519127800054e-06	1.1171148349669389e-05	4.791475609980781e-06	8.218150750005755e-07	3.873594876721426e-06	8.673727627352972e-06	2.6271074347247784e-06	3.7288503410924813e-06	6.535543057970665e-06	2.117321859297035e-06	1.39338e-05	1.0293907600507222e-05	6.1847428905817446e-06	2.514724197482307e-06	3.429184742252291e-06	9.46291086239461e-06	3.5275185494025956e-06	5.280833297861413e-06	2.28595729599597e-06	9.039237078425844e-07	3.67340342473536e-06	9.646899985165088e-07	4.081527060101637e-06	1.0762266209052923e-05	1.0414352513075981e-05	5.6792865668193305e-06	3.29949e-05	1.5205826641743961e-06	1.6540271854038607e-06	6.226396430518937e-06	8.239454879759195e-07	3.9789118575843895e-06	5.023637557269934e-06	1.0558220805020129e-06	5.477769506431896e-06	4.422352177709062e-06	9.695616337263657e-06	5.640741838640164e-07	5.75787390490709e-06	4.381127794069854e-06	6.66758818690386e-06	3.5047552903602945e-06	4.72562e-05	1.7906130637671488e-06	2.72596e-06	3.2305692753362052e-06	3.529261757780218e-06	6.433852825406857e-07	1.0444504162010549e-05	6.227021082123928e-06	2.4766693831027336e-06	8.00522676698799e-06	1.2582226651318604e-06	6.7851971806669785e-06
2.1.1.98	1.1548829999999998e-08	1.7317023000000005e-07	8.652782999999994e-08	1.1663399999999998e-08	1.1663399999999998e-08	1.0726099999999999e-09	8.486162999999995e-08	1.4402209999999998e-08	2.8804420000000006e-08	2.4878430000000004e-08	8.760043999999993e-08	8.331e-09	3.094964e-08	9.474425999999992e-08	5.8681450000000025e-08	1.2425683999999982e-07	8.689227999999994e-08	5.5234480000000024e-08	9.59314399999999e-08	4.820523000000002e-08	6.927224e-08	5.8202430000000025e-08	1.3151522999999985e-07	1.3151522999999985e-07	1.976526e-08	3.916607000000002e-08	3.665640000000001e-08	2.5242880000000008e-08	2.3576680000000004e-08	1.2818282999999984e-07	6.867865e-08	5.8202430000000025e-08	4.320663000000002e-08	6.927224e-08	5.272481000000002e-08	4.498740000000001e-08	1.7070203999999995e-07	7.260463999999999e-08	5.7129820000000025e-08	6.701245000000001e-08	1.0748026999999986e-07	8.022747999999995e-08	8.034204999999996e-08	2.6544630000000005e-08	1.2092443999999983e-07	4.475826000000002e-08	2.5951040000000005e-08	2.4399410000000004e-08	3.380302000000001e-08	5.833774000000003e-08	8.700684999999994e-08	4.642446000000002e-08	4.094684000000002e-08	1.1870612999999979e-07	1.2414226999999982e-07	8.926663999999993e-08	2.798169000000001e-08	4.642446000000002e-08	8.212281999999996e-08	1.3366044999999985e-07	1.1818562999999983e-07	3.499020000000001e-08	6.749147e-08	7.938400999999996e-08	2.4401383999999934e-07	1.1152082999999984e-07	2.595104e-08	3.487563000000001e-08	8.652782999999994e-08	1.0726099999999999e-09	8.152922999999995e-08	1.0271080999999988e-07	8.093563999999996e-08	8.331e-09	4.927784000000002e-08	1.0533504999999987e-07	1.4543841999999992e-07	8.819402999999994e-08	8.426803999999994e-08
4.1.3.30	1.25974e-05	2.8119025375011103e-05	3.0113885111761927e-05	2.00598e-05	8.99045e-05	2.06114e-05	1.0372395451952398e-06	7.446459216050001e-05	2.871035100506669e-05	9.334463892033333e-06	3.220619185629526e-05	1.40174e-05	2.8508916125734914e-05	3.948265931056196e-05	8.847712329000023e-07	2.8132758341377772e-05	4.795666245699998e-05	2.875314663373335e-05	4.2301764325466735e-05	3.0359906984838113e-05	2.8811456109139663e-05	2.8637049612773014e-05	1.69997e-05	4.024996431795726e-05	2.890911520320638e-05	4.5450311747528434e-05	5.30229e-05	1.5148673407666662e-06	2.8766332325901575e-05	5.959257918666669e-07	3.426298250229995e-05	1.63208e-05	6.86715e-06	3.71295e-06	2.870502455231108e-05	1.70086e-05	3.082046193749994e-05	2.008802762414283e-06	3.669043173309999e-05	2.870415732593968e-05	2.8055462725344445e-05	2.865308365930635e-05	2.863251073734444e-05	6.162608229999996e-07	2.8495867186868244e-05	1.4756310761666632e-06	4.968417845238109e-07	9.907127898666687e-07	0.00013246172530466654	1.13094e-05	3.744714752587307e-07	7.139007570809522e-07	1.58697e-05	2.874343960740003e-05	4.6626226967777704e-07	2.876343193840001e-05	1.9261711006000004e-05	2.867147975827301e-05	2.859120677897777e-05	4.784836168e-07	3.657168444777776e-07	1.3314916020000014e-05	2.855565450930635e-05	6.31072e-06	2.8628005525934925e-05	2.8256041021177773e-05	4.16404714074048e-05	0.000942095	2.8814120466506354e-05	2.34051e-05	5.388193535106202e-05	2.831918113824446e-05	1.633784908014285e-06	4.47458e-05	1.2346486086476223e-06	3.9498479430361995e-05	2.7884430923011087e-05	9.266573334285725e-07	3.363641308191125e-05
4.1.3.1	2.73797e-05	9.51015422077821e-06	7.119802329647164e-06	4.46048e-05	0.000127437	0.00011891	3.6587972899071535e-06	0.000166092	6.15944e-06	1.2969386205637577e-06	1.116442245762935e-05	2.65447e-05	3.62355e-06	4.845805016373532e-06	1.7303640233741419e-06	7.817200693463347e-06	1.1374892415755282e-05	4.613137170585323e-06	8.123604503658412e-06	3.2097791000998556e-06	1.53988e-05	5.90895e-06	9.395070164382065e-06	2.6520292268790607e-05	3.7973724317048596e-06	3.4223080542860066e-06	6.35044e-05	2.049594793857343e-06	3.3501747002359976e-06	1.5940893586181471e-06	9.287109688651163e-06	2.67593e-05	3.91127e-05	8.13706e-06	1.2090330169333332e-05	5.01797e-05	8.197778689598075e-06	5.203417597520856e-06	8.635069370489787e-06	7.1140375450082985e-06	7.256848439750038e-06	3.904433068201718e-06	5.16022e-06	2.552001814384985e-06	6.5739089906205e-06	3.45527e-06	1.6337119174374002e-06	5.511841563582377e-06	1.1256e-05	2.74388e-05	7.652835939091257e-06	1.79605e-05	7.24908e-06	3.7325866897839476e-06	5.194612415602839e-06	6.330370435984911e-06	2.0400728175786624e-05	8.14293e-06	3.1473012949983784e-06	5.216563000933232e-06	5.210770451138831e-06	9.00766e-06	3.85315045349097e-06	1.64118e-05	1.0351786113044161e-05	8.029890831178834e-06	1.446509528729644e-05	7.77097e-05	7.872986742085864e-06	3.27546e-05	6.77643e-06	8.072151146624894e-06	3.7030538763020326e-06	0.000114334	6.861510620310654e-06	8.046054454989197e-06	8.065718100072168e-06	1.797507327776572e-06	1.6218700214808292e-05
