	SRR6915092_500K_merged_Abundance.RPKs	SRR6915093_500K_merged_Abundance.RPKs	SRR6915094_500K_merged_Abundance.RPKs	SRR6915095_500K_merged_Abundance.RPKs	SRR6915096_500K_merged_Abundance.RPKs	SRR6915097_500K_merged_Abundance.RPKs	SRR6915098_500K_merged_Abundance.RPKs	SRR6915099_500K_merged_Abundance.RPKs	SRR6915100_500K_merged_Abundance.RPKs
PWY-6277	4.141732219854198e-05	0.00013312874455747155	0.00019308588237039427	0.00019258179734437265	0.00019431762842600742	0.00013520516218548214	0.00016454830152618768	0.00010560718139151862	0.0001026521263446805
TRNA-CHARGING-PWY	0.00015828776398761163	0.00015718591896817432	0.00015199497383927262	0.00017595551656701797	0.00017341654867254888	0.00015909669055147734	0.000156764201224003	0.00012464721780370956	8.253652803063747e-05
PWY0-1061	2.5290222820839816e-05	8.847086990621607e-06	6.110673753658074e-06	0.00011320251819709276	0.00019579083907328578	1.2841136820157676e-05	0.00022893810393546815	3.612291652732052e-05	2.51854382984752e-05
PWY-6317	2.644518704772692e-05	3.933321107299012e-05	8.396585183082303e-05	0.00012774521211116524	0.00014540343875720017	5.882499003454892e-05	0.00012581397785853694	4.64688691561947e-05	4.9449834105985494e-05
GALACT-GLUCUROCAT-PWY	8.990823533867648e-06	1.00128209539717e-05	7.77650691761835e-05	0.00012958250062059188	3.097415607549694e-05	1.4045028136279964e-05	4.346488145367525e-05	2.9707324098308333e-05	3.4210971337568754e-05
GLYCOCAT-PWY	2.176096181140032e-05	3.857536882079648e-05	8.21704115567865e-05	5.416906820887395e-05	2.2968786253923253e-05	5.03977797730723e-05	2.5966430773367035e-05	6.0700753776674824e-05	2.4884228393773973e-05
TRPSYN-PWY	4.4214167664392434e-05	5.780291718442693e-05	0.00013429644598337244	9.441316824359861e-05	0.00013617790972616156	1.2724709455071385e-05	0.00013461648843358337	5.229528825977627e-05	9.73077251473574e-05
THRESYN-PWY	3.196732036337513e-05	7.052507991193442e-05	0.00015053654362796306	0.00013729538575198757	0.0002372911118338063	6.0128281945300824e-05	0.00022258793771237552	6.188734254613288e-05	8.686262881477184e-05
DAPLYSINESYN-PWY	1.5498541024704773e-05	1.0802906583415851e-05	0.00010998483157647296	0.0001691371952381433	0.0001946983002575061	8.899168084005923e-06	0.00018394398411330994	2.2815734334812915e-05	5.449413092828232e-06
PWY-2942	5.9957257542721106e-05	8.196730545589635e-05	0.00017303086453081292	5.7671601639932905e-05	7.73533288755947e-05	5.0679358672198794e-05	0.00011109805757985916	7.721017953344646e-05	6.320871038730067e-05
PWY-5097	6.192792055744003e-05	0.00011026067188522747	0.00018878115365975398	0.0001574852539496746	0.00018130687803050987	0.00011540644435626786	0.00017083840374244104	9.706651416066144e-05	7.769894742056431e-05
PWY-724	4.8390766893243946e-05	7.562909292543712e-05	0.00016455105156456615	0.0001244282061691252	0.00018007073599923877	7.5331065496144e-05	0.0001621688090514006	7.05436715338428e-05	6.146412378292425e-05
PWY-5686	0.00010961482226884871	0.00014339252227676545	0.0001404623010793282	0.00012847086255343213	0.00019615160911269937	0.0001554430972461318	0.00015782202644657026	0.00011657856378452191	0.00011366272878946447
PWY-7211	6.965663354331961e-05	2.6429243094278045e-05	0.00012113080991938685	0.00012415698532703827	0.00015005012006600942	3.584484727036058e-05	0.00013908432933938577	2.333582529748757e-05	2.969603166643163e-05
PWY-7790	0.00010961482226884871	0.00014339252227676545	0.0001404623010793282	0.00012359912946995004	0.00019615160911269937	0.0001554430972461318	0.00015782202644657026	0.00011657856378452191	0.00011366272878946447
PWY-7791	0.00010961482226884871	0.00014339252227676545	0.0001404623010793282	0.00010987867888447691	0.00019615160911269937	0.0001554430972461318	0.00015782202644657026	0.00011657856378452191	0.00011366272878946447
PWY0-162	8.435576058588812e-05	0.00010969205167780833	0.00013501290099195436	0.0001269761446860285	0.00018352385815591178	7.59436931700147e-05	0.00014804026113438915	4.679789217035055e-05	6.370135829455207e-05
