#OTU ID	SRR6915091_merged_Abundance.RPKs	SRR6915092_merged_Abundance.RPKs	SRR6915093_merged_Abundance.RPKs	SRR6915094_merged_Abundance.RPKs	SRR6915095_merged_Abundance.RPKs	SRR6915096_merged_Abundance.RPKs	SRR6915097_merged_Abundance.RPKs	SRR6915098_merged_Abundance.RPKs	SRR6915099_merged_Abundance.RPKs	SRR6915100_merged_Abundance.RPKs	SRR6915101_merged_Abundance.RPKs	SRR6915102_merged_Abundance.RPKs	SRR6915113_merged_Abundance.RPKs	SRR6915115_merged_Abundance.RPKs	SRR6915116_merged_Abundance.RPKs	SRR6915118_merged_Abundance.RPKs	SRR6915119_merged_Abundance.RPKs	SRR6915120_merged_Abundance.RPKs	SRR6915121_merged_Abundance.RPKs	SRR6915122_merged_Abundance.RPKs	SRR6915123_merged_Abundance.RPKs	SRR6915124_merged_Abundance.RPKs	SRR6915137_merged_Abundance.RPKs	SRR6915138_merged_Abundance.RPKs	SRR6915139_merged_Abundance.RPKs	SRR6915140_merged_Abundance.RPKs	SRR6915141_merged_Abundance.RPKs	SRR6915142_merged_Abundance.RPKs	SRR6915143_merged_Abundance.RPKs	SRR6915144_merged_Abundance.RPKs	SRR6915145_merged_Abundance.RPKs	SRR6915146_merged_Abundance.RPKs	SRR6915157_merged_Abundance.RPKs	SRR6915158_merged_Abundance.RPKs	SRR6915159_merged_Abundance.RPKs	SRR6915160_merged_Abundance.RPKs	SRR6915161_merged_Abundance.RPKs	SRR6915162_merged_Abundance.RPKs	SRR6915163_merged_Abundance.RPKs	SRR6915164_merged_Abundance.RPKs	SRR6915165_merged_Abundance.RPKs	SRR6915166_merged_Abundance.RPKs	SRR6915188_merged_Abundance.RPKs	SRR6915189_merged_Abundance.RPKs	SRR6915190_merged_Abundance.RPKs	SRR6915191_merged_Abundance.RPKs	SRR6915192_merged_Abundance.RPKs	SRR6915193_merged_Abundance.RPKs	SRR6915194_merged_Abundance.RPKs	SRR6915201_merged_Abundance.RPKs	SRR6915202_merged_Abundance.RPKs	SRR6915203_merged_Abundance.RPKs	SRR6915204_merged_Abundance.RPKs	SRR6915205_merged_Abundance.RPKs	SRR6915206_merged_Abundance.RPKs	SRR6915207_merged_Abundance.RPKs	SRR6915208_merged_Abundance.RPKs	SRR6915209_merged_Abundance.RPKs	SRR6915210_merged_Abundance.RPKs	SRR6915211_merged_Abundance.RPKs	SRR6915212_merged_Abundance.RPKs	SRR6915213_merged_Abundance.RPKs	SRR6915214_merged_Abundance.RPKs	SRR6915215_merged_Abundance.RPKs	SRR6915216_merged_Abundance.RPKs	SRR6915217_merged_Abundance.RPKs	SRR6915218_merged_Abundance.RPKs	SRR6915219_merged_Abundance.RPKs	SRR6915220_merged_Abundance.RPKs	SRR6915221_merged_Abundance.RPKs	SRR6915222_merged_Abundance.RPKs	SRR6915223_merged_Abundance.RPKs	SRR6915224_merged_Abundance.RPKs	SRR6915225_merged_Abundance.RPKs	SRR6915226_merged_Abundance.RPKs	SRR6915227_merged_Abundance.RPKs	SRR6915228_merged_Abundance.RPKs	SRR6915229_merged_Abundance.RPKs	SRR6915230_merged_Abundance.RPKs
2.8.3.1	0	0	0	0	0	0	0	0	1.0522e-06	5.9882e-07	0	4.15224e-07	0	0	3.86622e-07	0	2.75492e-07	0	9.38922e-07	6.062e-08	8.46432e-06	1.84077e-06	2.81482e-07	2.33527e-07	0	0	0	0	2.55845e-06	2.36263e-07	0	5.41389e-06	2.97702e-06	3.87302e-06	1.792e-06	0	0	0	7.85727e-07	1.90172e-07	0	4.55246e-06	9.66317e-06	1.871e-06	0	0	2.32956e-06	2.57488e-07	0	0	0	1.65736e-06	1.76589e-07	1.20103e-06	4.0279e-07	8.56617e-06	0	1.96859e-06	8.16932e-06	0	0	2.22679e-06	0	2.68306e-07	4.76125e-07	3.52713e-07	3.51824e-06	0	0	0	7.85921e-07	0	4.41557e-07	0	1.6092e-07	0	0	0	0
2.8.3.10	1.52193e-05	1.87742e-05	2.23674e-05	1.62991e-05	3.47944e-05	0.000108333	1.52179e-05	0.000128027	2.19664e-05	2.03563e-05	2.97462e-06	2.70796e-05	1.27894e-05	0.000106572	4.25156e-05	3.55222e-06	2.02366e-05	3.51779e-06	2.60818e-05	9.20955e-06	7.39965e-05	2.86949e-05	5.39653e-05	9.09842e-05	9.50717e-06	2.8177e-06	2.02398e-05	5.12837e-06	1.57049e-05	1.63447e-05	4.29308e-06	1.56765e-05	7.93786e-06	8.74462e-06	3.54827e-05	1.24398e-05	2.23038e-06	2.51799e-05	1.28378e-05	9.31769e-06	6.78064e-06	5.22401e-05	5.64374e-05	9.39273e-06	4.29557e-05	9.78969e-06	1.10869e-05	2.94266e-05	2.72397e-05	1.93354e-05	1.36552e-05	2.45917e-05	1.9906e-05	7.89629e-06	1.5652e-05	2.49355e-05	4.15993e-06	2.5479e-05	1.79616e-05	2.73855e-05	2.04319e-05	2.41374e-05	1.7573e-05	0.000126364	6.58181e-06	7.16822e-05	9.45209e-06	2.62908e-05	3.06978e-05	9.20688e-06	1.53303e-05	8.19466e-06	8.43898e-06	5.8985e-05	9.98235e-06	1.40501e-05	5.4248e-05	3.1817e-05	7.72747e-06
2.8.3.11	0	0	0	0	0	0	7.78315e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.89367e-07	3.63575e-07	0	0	0	0	1.07279e-06	0	0	0	0	0	0	4.05452e-07	0	0	1.05584e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8503e-07	0	6.70688e-07	0	1.02246e-06	0	0	0	0	6.58641e-07	0	0	0	0	0	1.40872e-06	0
2.8.3.12	7.19163e-06	6.67766e-07	2.21485e-06	0	0	0	0	0	0	6.88602e-07	6.91614e-07	9.12859e-07	7.38906e-06	3.92324e-06	0	0	3.93154e-06	0	1.79109e-06	4.11816e-06	2.60215e-06	0	0	6.868e-05	0	0	0	0	0	3.86999e-07	0	0	0	0	3.42786e-07	4.72958e-07	0	8.5633e-06	2.71359e-07	0	1.06402e-06	0	6.58398e-06	1.9976e-07	1.92468e-07	1.23673e-06	2.03379e-07	6.55571e-07	1.81635e-05	2.7758e-06	1.18765e-05	1.93445e-06	2.83333e-06	6.18047e-07	0	1.42374e-07	7.84581e-07	2.11867e-06	0	0	2.47465e-07	1.47693e-06	0	5.20175e-07	0	4.42715e-07	0	0	1.5962e-07	2.2905e-06	5.13711e-07	2.85925e-06	0	1.59456e-06	2.3463e-06	2.35937e-07	0	5.98577e-06	0
2.8.3.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07947e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35012e-07	0	0	0	2.43948e-07	0	0	0	0
2.8.3.16	9.93671e-06	1.36678e-06	5.54262e-06	9.818e-05	0.000140891	6.90327e-06	6.20869e-06	4.48875e-07	1.57194e-05	4.67776e-06	1.83897e-06	3.53068e-05	2.1529e-06	6.25098e-05	4.80254e-06	1.05216e-06	3.00514e-06	9.02568e-07	1.72512e-06	2.33655e-06	4.91789e-06	4.4237e-06	3.94642e-05	1.9604e-07	5.08101e-06	1.13467e-06	3.092e-05	8.70547e-07	3.90487e-06	1.33273e-06	6.72172e-06	5.66695e-05	0.000101934	1.17161e-05	1.2701e-05	8.25863e-05	0	1.14181e-06	1.16182e-05	3.2636e-06	0	1.85228e-06	7.07985e-06	1.25311e-06	3.09338e-06	2.84223e-06	1.05252e-06	2.08224e-06	2.39842e-06	7.1883e-05	1.92529e-06	1.96035e-06	1.57814e-05	2.90773e-06	1.12785e-05	2.33158e-06	6.96555e-06	3.10984e-06	1.6054e-06	2.50103e-06	2.45623e-06	4.45244e-05	3.18969e-06	1.1316e-05	1.6172e-06	1.16435e-06	1.2353e-05	9.65912e-05	3.1722e-06	2.63894e-05	9.1438e-06	3.33404e-06	0	5.65936e-05	1.56756e-05	1.48638e-06	6.35575e-07	1.10542e-05	6.59375e-06
2.8.3.17	9.81097e-07	0	0	0	0	0	0	0	0	8.13867e-08	0	0	5.87671e-07	2.15425e-06	0	0	5.1695e-07	0	0	5.50626e-08	0	0	0	4.45425e-07	0	0	0	1.78974e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96921e-07	6.03875e-08	0	0	0	7.77946e-07	4.22562e-07	0	0	5.68663e-06	0	0	0	0	0	0	0	0	7.4317e-07	0	2.97313e-07	0	0	0	0	3.31234e-07	5.30096e-07	3.33273e-07	0	0	3.42036e-07	5.27154e-07	0	0	0	2.21722e-06
2.8.3.19	4.73271e-07	0	0	2.96343e-06	2.15706e-05	1.42907e-06	0	8.77828e-08	1.30564e-06	0	0	3.49088e-06	2.38537e-07	0	0	0	0	0	0	0	4.27633e-07	1.16241e-06	1.19169e-06	0	0	0	2.68332e-06	0	0	0	1.00923e-06	4.77148e-06	8.12492e-06	8.07549e-07	5.15787e-07	1.37308e-05	0	2.47477e-07	5.19407e-07	2.91344e-07	0	0	8.68343e-07	0	0	0	0	7.89303e-08	6.91084e-08	5.15698e-07	0	0	6.07461e-07	0	0	0	2.58748e-07	2.54746e-07	0	1.9802e-07	0	7.9343e-06	0	9.34108e-07	0	0	8.74632e-07	1.02773e-05	0	1.26321e-06	7.198e-07	0	0	6.08257e-06	0	0	0	0	0
2.8.3.21	1.36959e-06	0	4.86496e-07	1.23157e-05	3.3979e-05	3.58692e-06	0	0	1.50763e-06	0	0	4.38266e-06	5.70579e-07	5.63616e-07	0	0	0	0	0	0	0	2.63747e-06	1.60039e-06	0	0	0	1.09521e-05	0	0	0	1.50896e-06	2.21531e-06	5.1686e-06	1.55382e-06	8.19039e-07	1.0061e-05	0	0	6.09554e-07	6.61465e-07	0	0	7.71903e-07	0	0	0	0	5.46882e-07	0	4.40834e-06	0	0	1.35941e-06	0	0	0	2.74013e-07	0	0	0	0	2.27773e-06	0	1.9461e-06	0	0	5.23018e-07	1.44134e-05	1.48873e-07	8.74805e-06	1.22384e-06	0	0	3.0076e-05	0	0	0	7.5939e-07	0
2.8.3.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18267e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.34908e-07	0	0	0	0	0	0	0	0	0	0	1.09817e-06	0	0	0	0
2.8.3.5	2.43133e-05	6.32049e-07	1.25447e-06	7.53118e-06	3.0004e-05	0.000194462	0	0.000180746	2.17906e-06	6.62549e-07	0	2.91795e-06	4.16426e-07	2.06134e-06	9.32014e-07	0	4.14608e-07	3.30421e-07	9.46355e-07	0	1.22704e-07	2.01235e-06	6.04952e-06	0	7.8364e-07	0	3.21275e-06	0	5.33148e-06	4.73598e-07	1.96654e-06	3.85801e-07	3.06356e-06	1.48719e-06	7.00046e-07	6.74469e-06	0	9.59565e-07	1.34656e-06	8.80682e-08	0	2.3632e-06	8.81125e-06	3.29417e-07	2.63449e-07	1.77163e-07	9.20541e-07	1.16492e-07	5.65182e-06	1.7229e-05	5.45005e-07	1.03162e-06	4.02014e-06	0	7.47599e-07	1.13856e-06	1.90743e-07	1.0595e-06	7.43108e-07	2.02016e-07	0	2.52397e-06	0	4.00069e-07	0	5.52373e-07	2.58292e-06	5.99126e-05	2.32282e-07	2.82856e-06	3.34154e-07	5.83305e-06	0	1.90535e-05	7.98816e-06	7.7312e-07	0	3.68365e-06	6.0268e-07
2.8.3.6	3.25802e-05	0	6.90503e-08	4.64602e-06	1.67216e-05	0.000275886	0	0.000276316	0	0	0	0	1.08526e-07	2.95074e-06	0	0	0	0	0	0	0	0	1.08409e-05	0	0	0	0	0	0	0	3.35437e-07	0	1.40929e-07	0	2.4251e-07	4.2174e-06	0	1.01041e-06	0	2.48412e-08	0	0	8.31695e-07	0	1.46022e-07	0	0	3.83632e-08	5.77698e-06	2.4047e-05	0	1.71562e-05	1.78644e-06	0	0	0	0	1.42579e-05	0	0	0	4.99425e-07	0	0	0	0	0	1.13722e-05	4.50752e-07	7.31815e-07	8.38901e-08	0	0	6.71816e-08	0	1.04845e-06	0	3.63147e-07	2.96131e-06
2.8.3.8	3.00971e-05	2.3155e-06	9.52717e-06	9.23424e-05	7.0987e-05	0.000111767	4.21448e-07	9.45132e-05	3.76264e-05	4.00293e-06	1.13802e-06	4.76762e-05	5.94182e-05	5.65956e-06	3.17405e-06	3.36061e-06	8.61434e-06	2.03187e-06	6.21911e-06	8.82674e-06	5.93352e-06	1.59138e-05	1.30929e-05	3.30853e-06	1.14901e-05	7.72977e-06	0.000112426	1.85374e-06	9.2382e-06	3.94495e-06	1.18616e-05	5.13655e-05	8.47476e-05	6.56666e-06	1.1069e-05	9.9264e-05	0	1.53179e-06	2.62937e-05	3.03566e-06	1.29859e-06	7.10892e-06	2.31333e-05	2.95695e-06	3.04998e-06	1.70482e-05	2.48858e-06	6.82729e-07	2.33363e-05	2.73948e-05	5.8118e-06	1.97359e-05	3.09471e-05	5.46798e-06	6.93542e-06	4.34044e-06	2.65025e-05	1.71043e-05	2.51857e-06	3.57235e-06	2.73534e-06	3.18536e-05	4.86381e-06	2.31041e-05	8.69125e-06	4.28681e-06	1.54587e-05	0.000224388	1.23409e-05	3.27604e-05	3.3822e-05	2.54936e-05	3.68521e-06	0.000233133	5.23029e-05	1.47456e-06	1.08037e-06	2.56627e-05	1.32496e-05
